ricf_oid_2013	ba_rdt	ba_cn	ba_en	ba_rid	ba_org	ba_msn	ba_srv	ba_ntr	ba_rng	ba_reg	ba_sup	ba_fdt	ba_fnd	ba_add	ba_zip	ba_prv	ba_ct	ba_gis	ba_wb	ba_chr	ba_sec	ba_cpn	ba_cpp	ba_phn	ba_fax	ba_eml	ba_gvm	ba_pgv	ba_nfe	ba_nv	ba_evl	ba_sf	ba_tax	ba_src	ba_bn	ba_sn	ba_mn	ba_brn	ba_rn	ba_pbl	ba_pm	ba_po	ba_ai	ba_ap	ba_hr	ba_nc	ba_fr	ba_tr	ba_rcp	ba_mt	ba_trn	ricf_oid	ba_uscc
926	2013	吉林省敦化市文化发展基金会	Jilin Dunhua Cultural Development Foundat	基证字第[2009]36号	69611512-0	接受并管理捐赠资金，资助吉林省敦化市文化设施建设和文物古迹的保护利用，推动敦化市的历史文化名城保护工作。	接受并管理捐赠资金，资助吉林省敦化市文化设施建设和文物古迹的保护利用，推动敦化市的历史文化名城保护工作。	非公募	地方	省级民政部门	吉林省文化厅	2009-11-11 00:00:00	200万元	敦化市六鼎山文化旅游区管委会办公楼	133700	Jilin Sheng	Yanbian Chaoxianzuzizhizhou			王会文	王玉民	王兴中		0433-6688208	0433-6688208	adwxz@163.com	0.0	0.0	0.0	15.0		0.0						0.0	0.0	未举办刊物											222403696115120	926	532200006961151209
927	2013	吉林省春雨仁爱基金会	Jilin Chunyu Foundation	基证字第[2011]48号	57893969-8	回报社会，扶贫救急，大病救急，助学，促进社会和谐	（一）依照国家有关法律法规运作和管理基金会资金；（二）资助卫生医疗事业，对患病的贫困人员提供应急医疗费用；（三）资助贫困家庭子女上学；（四）资助农村修建道路、基础设施；（五）理事会认为必要的其他慈善项目。	非公募	地方	省级民政部门	吉林省慈善总会	2011-09-13 00:00:00	200万元	长春市胜利大街498号吴太商务中心10楼	130051	Jilin Sheng	Changchun Shi	[43.90681, 125.32956]		王旭光	韩常乐	徐进	财务部-会计	0431-82908013	0431-82908013	hancl@livon.cn	0.0	0.0	1.0	0.0		0.0	公益性捐赠税前扣除资格					0.0	0.0	未举办刊物											220103578939698	927	53220000MJ41641598
928	2013	吉林省残疾人福利基金会	Jilin Welfare Foundation for Disabled Per	基证字第[2001]51号	72958060-1	弘扬人道主义，动员社会力量，募集残疾人福利基金，发展残疾人事业，促进残疾人平等参与社会生活。	募集、使用和管理残疾人福利资金	公募	地方	省级民政部门	吉林省残疾人联合会	2001-07-02 00:00:00	400万元	人民大街1680号	130051	Jilin Sheng	Changchun Shi	[43.898293, 125.32366]	http://www.jldpf.org.cn/ywlm/jjh/	盛大成	武装	邓鑫	项目负责人	0431-88905836	0431-88905832	jlsclxwb@126.com	0.0	0.0	2.0	0.0		1.0	公益性捐赠税前扣除资格					0.0	0.0	内部发行刊物											72958060-1	928	53220000729580601J
929	2013	吉林省社会发展基金会	Jilin Social Development Foundation	基证字第[1996]35号	50832623-9	资助弱势群体,发展社会事业	募集管理使用资金资助弱势群体发展社会事业	非公募	地方	省级民政部门	吉林省发展和改革委员会	1996-05-16 00:00:00	200万元		130022	Jilin Sheng	Changchun Shi	[43.89054, 125.3291]		孙耀廷	赵金荣	王迪	办公室 工作人员	0431-88952763	0431-88952763	summer-25@163.com	0.0	0.0	5.0	0.0		0.0	无																			929	53220000508326239E
930	2013	吉林省神华社会救助基金会	Jilin Shenhua Social Aid Foundation	基证字第[2010]28号	55526578-2	关心和救助社会困难、弱势群体，尽力支持和资助公益事业，推动社会和谐进步。	救助贫困家庭重大、疑难疾病儿童患者；扶助吉林省青年大学生创业；资助农村基础教育和孤寡病残福利事业；援助重大自然灾害灾区；理事会认为有必要的其他慈善项目；捐赠人特别指定并符合本基金会宗旨的项目。	非公募	地方	省级民政部门	吉林省慈善总会	2010-05-26 00:00:00	1,000万元	吉林市昌邑区松江东路8号	132001	Jilin Sheng	Jilin Shi	[43.836655, 126.582146]		李世红	尚含义	孙悦	会计	0432-63333333	0432-66911166	181218378@qq.com	0.0	0.0	2.0	0.0	3A	0.0	公益性捐赠税前扣除资格					0.0	0.0	未举办刊物											220202555265782	930	532200005552657827
931	2013	吉林省绿化基金会	Jilin Afforest Foundation	基证字第[1994]24号	50832482-3	满足各方人士和团体对绿化事业提供捐赠的意愿和合理要求，依法募集、管理、使用绿化基金，以各种形式宣传国土绿化的重要性各紧迫性，努力提高全民全社会的绿化意识和环境意识，资助各种绿化活动，广泛发动全社会参与生态环境保护和建设，推进国土绿化进程，维护生态平衡，促进人与自然和谐发展。	筹集资金，兴办造林绿化事业。	公募	地方	省级民政部门	吉林省绿化办	1994-07-15 00:00:00	400万元	长春市亚泰大街3698号	130022	Jilin Sheng	Changchun Shi	[43.876434, 125.34878]		栾胜宽	尹善普	赵春梅	副秘书长	0431-88627599	0431-88627599	JLSLWB01@126.com	5.0	0.0	0.0	0.0		1.0	公益性捐赠税前扣除资格					0.0	0.0	未举办刊物											220102508324823	931	53220000508324823E
932	2013	吉林省老龄事业发展基金会	Jilin Aging Development Foundation	基证字第【1992】164号	50832320-6	遵守《基金会管理条列》和国家有关法律、法规、弘扬中华民族爱老、敬老、助老的传统美德、争取省内关心吉林省老龄事业的团体、人士的支持和帮助、协助政府积极推进吉林省老年社会福利、医疗卫生、文化事业、老年教育的各项事业的发展、在构建和谐社会中发挥作用。	筹集、管理、使用老年基金组织兴办各种福利事业。	公募	地方	省级民政部门	吉林省老龄工作委员会	1992-06-05 00:00:00	400万元	长春市文化街1号	130051	Jilin Sheng	Changchun Shi	[44.055416, 125.18399]	http://www.jlpadf.com/	刘润璞	勾铁兵	籍淑珍	基金会办公室主任	0431-81960357	0431-81960357		0.0	0.0	11.0	0.0	3A	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格					0.0	0.0	未举办刊物											22010408323206	932	53220000508323206C
933	2013	吉林省荒漠化治理基金会	Jilin Desertification Contro Foundation	基证字第[2001]49号	72958061-X	广泛动员社会力量，发扬中华民族团结互助的美德，治理和保护人类生存环境，组织形式多样的募捐和认治荒漠活动，治沙止漠，充分发挥林业在生态建设中的主体作用，为实现生态省建设目标而努力奋斗。	开展生态宣传、募集社会资金，认治荒漠、治沙、止漠，咨询服务，技术培训，非公有制林业资金监管。	公募	地方	省级民政部门	吉林省林业厅	2001-11-06 00:00:00	400万元	长春市亚泰大街3698号	130022	Jilin Sheng	Changchun Shi	[43.876434, 125.34878]		栾胜宽	肖振海	倪红艳	理事	0431-88627562	0431-88626697	nhy0702@163.com	5.0	0.0	1.0	0.0	未参评	0.0	无					0.0	0.0	未举办刊物											22010272958061x	933	5322000072958061XA
934	2013	吉林省见义勇为基金会	Jilin Provincial Foundation for Justice a	基证字第[1996]19号	50832596-5	发扬中华传统美德，倡导见义勇为精神，弘扬社会正气，促进社会主义精神文明建设，为维护社会稳定服务，为构建社会主义和谐社会创造良好的社会环境。	弘扬正气，为见义勇为者提供物质支持。	公募	地方	省级民政部门	吉林省公安厅	1996-09-15 00:00:00	400万元	长春市新发路806号（省公安厅院内）	130051	Jilin Sheng	Changchun Shi	[43.89485, 125.31973]		李政文	韩志辉	刘志民	工作人员	0431-82098246	0431-82098146		3.0	1.0	3.0	0.0	3A	0.0	公益性捐赠税前扣除资格					4.0	0.0	内部发行刊物											220104508325965	934	53220000508325965M
935	2013	吉林省青少年发展基金会	Jilin Youth Development Foundation	基证字第[1992]316号	50832358-0	为吉林省各族各界青少年成长提供公益服务	创办资助青少年教育，科技，文化福利事业，奖励优秀青少年人才及为青少年事业做出杰出贡献的社会团体，个人，增强青少年国际间交流与合作。	公募	地方	省级民政部门	共青团吉林省委	1992-11-03 00:00:00	400万元	长春市人民大街1551A省政府6号楼621室	130051	Jilin Sheng	Changchun Shi	[43.86462, 125.32494]	http://www.jlhope.org	曲国民	曲国民	孟祥艳	会计	0431-85876683	0431-85876684	jlhope@126.com	0.0	0.0	15.0	20.0	4A	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格					0.0	0.0	未举办刊物											220104508323580	935	532200005083235803
936	2013	吉林省青年创业就业基金会	Jilin Foundation for Youth Entrepreneursh	基证字第【2009】25号	69103171-0	通过为青年创业就业提供创业资金扶持、创业技能培训、创业信息服务、相关政策协调等方面的支持，帮助青年创业就业，促进青年发展。	关注、支持、资助、开发、推广促进青年创业就业的示范性项目；推动开展青年创业就业的研究和交流，营造有利于青年创业就业的社会公益氛围；支持开展促进青年创业就业的各类服务和活动。	公募	地方	省级民政部门	共青团吉林省委员会	2009-08-31 00:00:00	400万元	长春市西安大路1038号吉林青年创业园2012室	130061	Jilin Sheng	Changchun Shi	[43.89058, 125.31286]	http://www.jlcjh.org	桑逢文	许萌	刘菲菲	出纳	0431-81158199	0431-81158199	jlcjh11@163.com	0.0	0.0	2.0	1.0		1.0	公益性捐赠税前扣除资格, 非营利组织免税资格					0.0	0.0	未举办刊物											220104691031710	936	53220000691031710B
937	2013	同心县同德公益慈善基金会	Tongxin Tongde Charity Foundation	宁基证字第F6409111041号	54601338	致力于公益慈善事业，关注扶贫济困、赈灾援助、社会福利，倡导企业公民责任，推动社会和谐进步。	扶贫助困、慈善产业、慈善活动、慈善合作、慈善宣传等。	非公募	地方	省级民政部门	宁夏民政厅	2012-08-31 00:00:00	200万元		751300	Ningxia Huizuzizhiqu	Wuzhong Shi	[36.980576, 105.91446]		张昱	马希明	苏贤		0953-8026981		nxtdcs@163.com	2.0	0.0	0.0	4.0	未参评		非营利组织免税资格																			MoreThanOneMatch	MoreThanOneMatch
938	2013	启东市孙锦昌助学奖学教育基金会	Qidong Sunjinchang Student Grants Foundat	苏民基证字第00045号	50915810-X	助学帮困，励志成才	资助品行端正，学业优秀，但家庭贫困而难于维持学业的启东籍在校大中学生。	非公募	地方	省级民政部门	江苏省教育厅	2006-01-23 00:00:00	1,000万元		226200	Jiangsu Sheng	Nantong Shi	[31.811354, 121.65555]		孙锦成	朱凯彬	朱凯彬	副理事长兼秘书长	0513-80923208	0513-83322439	csqzkb@126.com	0.0	0.0	1.0	3.0	未参评	0.0	公益性捐赠税前扣除资格																			938	5332000050915810X1
939	2013	启东市慈善基金会	Qidong Charity Foundation	苏民基证字第00121号	50915884-7	发展慈善公益事业，共建和谐启东。	接受社会捐赠及政府资助，组织募捐，资助城乡特困人员就医就学和基本生活。	公募	地方	省级民政部门	江苏省民政厅	2007-10-30 00:00:00	400万元		226200	Jiangsu Sheng	Nantong Shi	[31.821247, 121.67319]	http://csjj.qidong.gov.cn/	周嘉生	陆斌	倪溢钒	会计	0513-83212933	0513-83212933	qdscsjjh@163.com	0.0	0.0	3.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			939	53320000509158847Q
940	2013	启东市见义勇为基金会	Qidong Foundation for Justice and Courage	苏民基证字第00278号	509160461	弘扬见义勇为精神，奖励见义勇为行为，保障见义勇为先进分子，募集见义勇为基金。	接受政府资助和社会捐赠，奖励和资助见义勇为集体和个人。	公募	地方	省级民政部门	江苏省公安厅	2010-07-15 00:00:00	500万元		226200	Jiangsu Sheng	Nantong Shi	[31.81046, 121.66397]	http://www.qidong.gov.cn/col/col2962/index.html	洪建陶	孙善忠	黄春华		0513-83721023	0513-83103890	qdsjyywjjh@sina.com	3.0	0.0	2.0	0.0	   	0.0	公益性捐赠税前扣除资格																			940	53320000509160461F
941	2013	启东正谐爱心助学基金会	Qidong Zhengxie Students Grants Foundation	苏民基证字第00324号	509160920			非公募	地方	省级民政部门	南通市政协	2011-05-05 00:00:00			226200	Jiangsu Sheng	Nantong Shi	[31.808025, 121.65744]		施炳新																																941	53320000509160920L
942	2013	吴作人国际美术基金会	Wuzuoren International Foundation of Fine	基证字第1029号	50000771-9	本基金会是由吴作人先生出资基金本金，海内外著名人士发起设立的非营利性、社会公益性团体，旨在发扬优秀的中国文化，促进现代中国美术事业的发展。	接受捐赠、专项资助、国际合作、咨询服务、其它符合本会宗旨的活动。	非公募	全国	民政部	中共中央统战部	1989-08-30 00:00:00	300万元	北京大学燕南园52号	100871	Beijing Shi	Beijing	[39.989967, 116.30876]	http://www.wuzuoren.org	范迪安	吴宁	闵坤	办公室主任	010-62767071	010-62759721	wifa@wuzuoren.org	0.0	1.0	5.0	0.0	1A	0.0	公益性捐赠税前扣除资格					0.0	0.0	未举办刊物											06324560	942	531000005000077198
943	2013	吴江常青帮困基金会	Wujiang Changqing Foundation for Poverty 	苏民基证字第00326号	509160955	以人为本、关爱社会，扶贫济困、助学，努力构建和谐社会。	（一）接受社会捐赠；（二）资助特困人员就学；（三）对革命老区开展助学活动。	非公募	地方	省级民政部门	江苏省民政厅	2011-05-05 00:00:00	300万元		215200	Jiangsu Sheng	Suzhou Shi	[31.15876, 120.63419]		张钰良	徐静柏	王为群		0512-63185808	0512-63185832		0.0	0.0	0.0	0.0	未参评	0.0	公益性捐赠税前扣除资格																			943	533200005091609557
944	2013	吴江盛虹爱心基金会	Wujiang Shenghong Charity Foundation	苏民基证字第00347号	509161157	以人为本、关爱员工、关爱社会，扶贫济困、努力构建和谐社会	（一）接受企业和社会捐赠；  （二）资助特困人员基本生活；  （三）支持慈善公益事业发展。	非公募	地方	省级民政部门	江苏省民政厅	2011-07-21 00:00:00	300万元		215228	Jiangsu Sheng	Suzhou Shi	[30.905779, 120.67014]		唐金奎	顾栋华	高苏健	办公室	0512-63502737	0512-63578196	syhfsy8@126.com	0.0	0.0	3.0	36.0		0.0	公益性捐赠税前扣除资格																			944	533200005091611577
945	2013	吴阶平医学基金会	Wu Jieping Medical Foundation	基证字第1021号	50001804-7	弘扬吴阶平院士的高尚医德的治学精神；促进我国医疗卫生事业的发展和医药卫生工作者的团结合作；接受国内外所有关心医疗卫生事业发展的机构和个人的捐款，积极有效地开展并做好公益事业。	募集基金　专项资助　教育培训　国际交流　书刊编辑	非公募	全国	民政部	卫生部	2002-02-28 00:00:00	590万元	北京市朝阳区建外大街24号燕华苑2座601室	100022	Beijing Shi	Beijing	[39.906235, 116.439316]	http://www.wjpmf.org	杨晓萌	王南征	张和平	办公室主任	010-65159650	010-65155291	wjpf2002@aliyun.com	0.0	0.0	10.0	5.0	3A	0.0	公益性捐赠税前扣除资格					1.0	0.0	未举办刊物											110101500018047	945	53100000500018047C
946	2013	周培源基金会	Chou Pei-yuan Foundation	基证字第1022号	50001362-5	发展公益事业，促进科技进步和人才培养，加速社会经济繁荣。	募集资金、奖励资助、学术交流、技术培训、国际合作、书刊编辑、咨询服务。	非公募	全国	民政部	中共中央统战部	1993-03-15 00:00:00	200万元		100101	Beijing Shi	Beijing	[39.990955, 116.40184]	http://www.cpyf.org.cn	周如苹	周如苹	高禾	办公室负责人	010-84985729	010-84985729	zjhmail@cpyf.org.cn	0.0	1.0	4.0	2.0		0.0	无																			946	531000005000136252
947	2013	呼伦贝尔市扶贫基金会	Hulunbeir Foundation for Poverty Alleviat	基证字第J0085号	570620906	扶持贫困社区和人口改善生产条件、生活条件、健康条件并提高其素质和能力，实现脱贫致富和可持续发展	募集和管理扶贫资金及物资，资助贫困地区群众脱贫致富。	公募	地方	省级民政部门	内蒙古自治区扶贫办	2011-06-24 00:00:00	400万元		21008	Neimenggu Zizhiqu	Hulunbeier Shi	[49.22844, 119.78174]		王国林	韩龙	白野	呼伦贝尔市扶贫基金会综合部科员	0470-8229966	0470-8229966	hlbesfpjjh@163.com	6.0	0.0	4.0	4.0	未参评	0.0	公益性捐赠税前扣除资格																			947	531507000725990756
948	2013	呼和浩特市赛罕区新希望教育发展基金会	Hohhot Saihan  New Hope Education Develop	基证字第J0054号	69009416-2	开展经常性助学、助教，改善办学条件及其他相关活动。	资助贫困师生，奖励有贡献的单位和个人，进行师资培训，改善学校办学条件。	非公募	地方	省级民政部门	呼市赛罕区教育局	2009-07-23 00:00:00	200万元		10010	Neimenggu Zizhiqu	Huhehaote Shi	[40.758175, 111.71871]		温龙	高云峰	杨磊		0471-6651045	0471-6651044	shjyjjck@126.com	0.0	0.0	0.0	0.0		0.0	无																			948	531500006900941628
949	2013	呼市青少年科技教育奖励基金会	Hohhot Youngsters Sience and Technology E	基证字第J0020号	50270052-5	支持青少年从事科学研究和科技活动，奖励在科技教育活动中做出成绩的青少年、科技优秀辅导员及团体。	举办呼市青少年科技创新大赛；资助参加全国或自治区级科技竞赛活动及大型青少年科技示范活动。	公募	地方	省级民政部门	呼和浩特市科技局	1996-05-01 00:00:00	60万元		10010	Neimenggu Zizhiqu	Huhehaote Shi	[40.793804, 111.70294]		聂向东	刘博	刘博	秘书长	0471-6621295	0471-6621291																											949	
950	2013	哈尔滨医科大学发展基金会	Harbin Medical University Development Fou	黑基证字第0035号	55614948-4	汇八方涓流、襄教育伟业，全面支持和推动哈尔滨医科大学的建设和发展。本基金会遵守宪法、法律、法规和国家政策，遵守社会道德风尚，为社会公益事业服务。	实施资助项目：接受捐赠；接受委托进行研究；开展教育等；基金管理与运作。	非公募	地方	省级民政部门	黑龙江省教育厅	2010-08-11 00:00:00	400万元		150081	Heilongjiang Sheng	Haerbin Shi	[45.70041, 126.61567]		姜洪池	刘文川	许超千	哈尔滨医科大学学校办公室主任	0451-86671880	0451-86669482	liuwc@ems.hrbmu.edu.cn	0.0	0.0	5.0	10.0	未参评	0.0	公益性捐赠税前扣除资格																			950	53230000556149484H
951	2013	哈尔滨商业大学教育发展基金会	Education Foundation of Harbin University	黑基证字第0047号	58380064X	遵守中华人民共和国宪法、法律、法规和国家政策，遵守社会道德风尚，多渠道筹集资  金，争取国内外各方面的支持和捐助，支持、促进哈尔滨商业大学教育事业的发展。	募集，管理、运作资金；资助哈尔滨商业大学的建设与发展项目	非公募	地方	省级民政部门	黑龙江省教育厅	2011-10-31 00:00:00	200万元		150028	Heilongjiang Sheng	Haerbin Shi	[45.818092, 126.56437]	http://http://jyw.hrBcu.EDU.cn/jjh	刘德权	赵炎	董秋菊	监事	0451-84867636		zy84865555@163.com	0.0	0.0	6.0	20.0	未参评	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			951	5323000058380064XU
952	2013	哈尔滨工业大学教育发展基金会	Education Development Foundation of Harbi	黑基证字第0028号	69520907X	为学校建设和发展筹集资金，推动事业发展。	募集、管理、运作基金，资助学校建设与发展项目及相关事业发展。	非公募	地方	省级民政部门	黑龙江省教育厅	2009-11-24 00:00:00	200万元		150001	Heilongjiang Sheng	Haerbin Shi	[45.74577, 126.633675]	http://www.hitef.org	王树权	何晶	李茉莉	办公室工作人员	0451-86403889	0451-86416951	hitef@hit.edu.cn	0.0	1.0	13.0	6.0		5.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			952	5323000069520907X8
953	2013	哈尔滨工程大学教育发展基金会	Harbin Engineering University Education D	黑基证字第0024号	672929816	推动教育事业发展，加强与国内外各界联系与合作，提高教育质量和学术水平，争取国内外团体和个人的支持和捐助。	募集资金，接受捐赠，管理与运作资金，资助学校建设与发展项目，奖励和资助教师和学生。	非公募	地方	省级民政部门	黑龙江省教育厅	2008-05-10 00:00:00	500万元		150001	Heilongjiang Sheng	Haerbin Shi	[45.7772, 126.67069]	http://gongxue.cn/jijinhui/index.asp	高晚欣	张利君	潘峰	科长	0451-82569000	0451-82569000	heuedf@yahoo.cn	0.0	0.0	3.0	10.0	4A	0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			953	532300006729298163
954	2013	哈尔滨市公安民警救助基金会	Harbin Public Security Police Relief Foun	黑基证字第0031号	55610548-1	抚慰英烈家属、救助特困民警，以此团结凝聚警心、弘扬社会正气、激励民警斗志。	组织开展对革命烈士、因公牺牲民警家属和因公负伤民警的慰问活动，为患重病及各种原因导致生活特别困难的民警进行救助。	公募	地方	省级民政部门	哈尔滨市公安局	2010-05-26 00:00:00	400万元		150010	Heilongjiang Sheng	Haerbin Shi	[45.76847, 126.61884]		曹振河	迂伟男	张琬晨	基金会工作人员	0451-87661853			0.0	0.0	1.0	0.0	未参评	0.0	无																			954	53230000556105481C
955	2013	哈尔滨市南岗区仁皇健康工程基金会	Harbin Nangang Renhuang Health Engineerin	黑基证字第0022号	66389931-X	尽其所能，积极发展和推进民间社会公益事业，支持与推动健康事业的发展与进步，为提高人民的健康水平做出积极努力。	基金会将根据章程的规定，依法接受国内外企业和社会团体的公益性捐赠和信托投资，尽其所能扶助老少边穷地区，农村提升医疗健康水平，资助老弱病残，基金会将发挥投融资功能，依法开展	非公募	地方	省级民政部门	哈尔滨市南岗区民政局	2008-06-02 00:00:00	200万元		150090	Heilongjiang Sheng	Haerbin Shi	[45.749714, 126.694695]		李绍铭	张志成	皮殿军	副理事长	0451-82334722	0451-57604764	pdj@renhuang.com																										955	5323000066389931XM
956	2013	哈尔滨市南岗区残疾人福利基金会	Haerbin Nangang Welfare Foundation for Di	黑基证字第0053号	588145007	弘扬人道主义，动员社会力量发展残疾人事业，全心全意为残疾人服务，促进残疾人平  等参与社会生活。	扶持、资助、兴办和发展残疾人事业，促进残疾人的康复、教育、福利、就业、文化生  活、社会服务和残疾预防等工作。	公募	地方	省级民政部门	黑龙江省残疾人联合会	2012-03-13 00:00:00	4,000万元		150001	Heilongjiang Sheng	Haerbin Shi	[45.757416, 126.67494]	http://www.ngcjrfljjh.org	王建梅	张玉华	盛瑛	基金会办公室主任	0451-82288806	0451-82288806	465890436@qq.com	3.0	0.0	7.0	7.0	未参评	0.0	无																			956	53230000588145007H
957	2013	哈尔滨市残疾人福利基金会	Haerbin Welfare Foundation for Disabled P	黑基证字第0011号	75235829-1	以贯彻《中华人民共和国残疾人保障法》和法律法规，弘扬人道主义，动员社会力量，发展残疾人事业，促进残疾人平等参与社会生活为宗旨。	筹集管理资金、宣传关爱残疾人、维护残疾人权益、救助贫困残疾人、开展交流合作。	公募	地方	省级民政部门	哈尔滨市残疾人联合会	1986-06-25 00:00:00	400万元		150080	Heilongjiang Sheng	Haerbin Shi	[45.791515, 126.652306]	http://www.hrbcl.gov.cn/CenterFund/	王碧玉	孙建斌	黄薇	会计	0451-87831402	0451-87831402	hw13704815538@163.com	2.0	0.0	2.0	200.0		0.0	公益性捐赠税前扣除资格																			957	53230000752358291H
958	2013	哈尔滨市百威英博城市发展基金会	Harbin AB Inbev City Development Foundati	黑基证字第0001号	76602545-5	通过资助哈尔滨市的组织或团体（但不得为个人），直接参与或从事、组织或执行章程规定的回答，以推动地方经济发展和支持公益慈善事业并造福哈尔滨市市民	开办投资论坛、提供教育、职业培训、举办啤酒节、慈善公益项目	非公募	地方	省级民政部门	黑龙江省招商局	2004-07-30 00:00:00	6,624万元		150030	Heilongjiang Sheng	Haerbin Shi	[45.749268, 126.688126]		王仁荣	任文霞	孙秀华	监事	0451-55602879	0451-55115333	ronnie@hdzchina.con.com	0.0	0.0	0.0	0.0	未参评	0.0	无																			958	53230000766025455B
959	2013	哈尔滨市老年基金会	Haerbin Charitable Foundation for the Eld	黑基证字第0019号	A74314275	弘扬敬老、爱老、助老的传统美德，救助困难老年人；协助政府积极推进哈尔滨市老年社会福利、医疗卫生、文化体育、老年教育等事业的发展。	募集资金、救助城乡困难老年人、建设老年福利设施	公募	地方	省级民政部门	黑龙江省老龄工作委员会	1987-09-30 00:00:00	400万元		150026	Heilongjiang Sheng	Haerbin Shi	[45.748894, 126.68976]		胡义杰	胡义杰	王岩	办公室副主任	0451-87004311	0451-82286810	hrblnjjh@163.com	3.0	0.0	5.0	20.0	未参评	0.0	无																			959	53230000A74314275J
960	2013	哈尔滨市见义勇为奖励基金会	Harbin Foundation for Justice and Courage	黑基证字第0018号	75530351-X	倡导见义勇为，弘扬社会正气，宣传先进事迹，表彰和资助、援助见义勇为人员及家属，促进平安和谐社会建设。	宣传先进事迹、奖励先进个人、募集活动资金。	公募	地方	省级民政部门	中共哈尔滨市委政法委	2000-10-11 00:00:00	405万元		150010	Heilongjiang Sheng	Haerbin Shi	[45.774685, 126.62447]		王维绪	锡东升	梁春欢	秘书处专项工作人员	0451-84614523	0451-84616064	hrbjyyw@sina.com	4.0	0.0	4.0	0.0	3A	0.0	公益性捐赠税前扣除资格																			960	5323000075530351XQ
961	2013	哈尔滨市道里区慈善基金会	Ha'erbin Daoli Charity Foundation	黑基证字第0016号	725334921	兴办和资助慈善事业	兴办和资助慈善事业	公募	地方	省级民政部门	黑龙江省民政厅	2000-12-21 00:00:00	5,400万元		150016	Heilongjiang Sheng	Haerbin Shi	[45.762875, 126.61277]		洪音	李鄂	李艳娟	财务部会计	0451-84204207	0451-84204207	sxa2006@126.com	0.0	0.0	3.0	0.0	未参评	0.0	无																			961	532300007253349212
962	2013	哈尔滨市道里区残疾人福利基金会	Haerbin Daoli Welfare Foundation for Disa	黑基证字第0010号	74443923-5	弘扬人道主义，发展残疾人事业，保障残疾人平等充分参与社会生活，共享社会物质文化成果。	筹集资金救助贫困残疾人，开展交流合作，维护残疾人权益。	公募	地方	省级民政部门	黑龙江省残疾人联合会	2003-01-01 00:00:00	210万元		150016	Heilongjiang Sheng	Haerbin Shi	[45.752613, 126.61598]		殷彩琴	马苗苗	王赫达	出纳	0451-84541853	0451-84541853	362758427@qq.com	1.0	0.0	4.0	564.0	未参评	0.0	无																			962	53230000744439235C
963	2013	哈尔滨市香坊区教育发展基金会	Harbin Xiangfang Education Foundation 	黑基证字第0034号	55614985-5	帮助贫困中小学生的培训交流，解决教育特殊困难的中小学生就学问题。	扶助贫困中小学生，解决教育特殊困难，培训交流及章程规定的其他活动。	公募	地方	省级民政部门	黑龙江省民政厅	2010-08-11 00:00:00	400万元		150040	Heilongjiang Sheng	Haerbin Shi	[45.730316, 126.68786]		冯华	刘绪强	高淑兰	财务室会计	0451-87952001		xfjyfzjjh@163.com	0.0	0.0	4.0	58.0	未参评	0.0	公益性捐赠税前扣除资格																			963	532300005561498558
964	2013	哈尔滨市香坊区残疾人福利基金会	Ha'erbing Xiangfang Welfare Foundation fo	黑基证字第0025号	68888233-8	弘扬人道主义，动员社会力量，发展残疾人事业，促进残疾人平等参与社会生活。	扶持、资助、兴办和发展残疾人福利基金事业；接受自然人、法人或其他组织捐赠的财  产；管理和使用残疾人福利基金；在国家政策法律许可的范围内进行基金保值增值；开  展和资助有利于	公募	地方	省级民政部门	哈尔滨市残疾人联合会	2009-06-26 00:00:00	400万元		150036	Heilongjiang Sheng	Haerbin Shi	[45.724476, 126.68601]	http://www.xfcjrfljjh.org.cn/	李福云	尚飞	李龙	办公室主任	0451-55570286	0451-55570286	94578555@qq.com	0.0	0.0	6.0	0.0	4A	0.0	公益性捐赠税前扣除资格																			964	53230000688882338F
965	2013	哈尔滨师范大学教育发展基金会	Harbin Normal University Education Develo	黑基证字第0036号	55614954-8	遵守中华人民共和国宪法、法律、法规和国家政策，遵守社会道德风尚，弘扬中华民族尊师重教优良传统，致力于加强哈尔滨师范大学与国内外各界的联系与合作，向国内外企业、社会团体和个	（一）开展与国内外友好团体和人士的友好往来和互相合作；  （二）以多种渠道、多种形式募集社会各界的资金和接受社会捐赠；  （三）资助哈尔滨师范大学的建设与发展项目；  （四）开展	非公募	地方	省级民政部门	黑龙江省教育厅	2010-08-11 00:00:00	200万元		150025	Heilongjiang Sheng	Haerbin Shi	[45.860992, 126.5546]		付军龙	宿建	庞春妍	秘书	0451-88060594	0451-88060013	hrbsujian@163.com	0.0	0.0	4.0	5.0		0.0	公益性捐赠税前扣除资格, 非营利组织免税资格																			965	53230000556149548F
