机构ID	数据年度	机构名称	基金会英文名称	登记证号	组织机构代码	宗旨	业务范围	基金会类型	成立时间	原始基金数额	登记部门	业务主管单位	基金会地址	邮编	秘书长	理事长	对外联系人姓名	联系人职务	联系人固话	联系人传真	联系人电子邮箱	机构官网	负责人中国家工作人员数	负责人中担任过省部级工作人员数	专项基金数	专职工作人员数	志愿者数量	评估情况	税收优惠资格取得情况
794	2014	南京市高淳区见义勇为基金会	Gaochun Foundation for Justice and Courage	苏民基证字第00140号	50915906-5	发扬中华民族传统美德，倡导见义勇为，弘扬社会正气，鼓励人民群众同违法犯罪和治安灾害作斗争，全心全意为高淳的平安、稳定及社会和谐而努力，为我县经济又好又快发展创造良好的社会条件。	（一）奖励见义勇为人员;（二）对在牺牲人员家属及伤残人员抚恤和资助;（三）宣传表彰,为符合本会宗旨的活动提供经费;（四）指导各镇见义勇为工作;	公募	2007年12月28日	402万元	省级民政部门	江苏省公安厅	江苏省南京市高淳县淳溪镇镇兴路150号	211300	谷亚东	赵太保	周莹		025-57347801	025-57347801	81355104@QQ.com.cn								无
795	2014	南京市鼓楼区见义勇为基金会	Nanjing Gudou Foundation for Justice and Courage	苏民基证字第00213号	67903518-8	发扬中华民族传统美德，倡导见义勇为，弘扬社会正气，鼓励人民群众同违法犯罪、治安灾害事故作斗争，为促进经济社会又好又快发展，建设平安鼓楼、文明鼓楼、和谐鼓楼，创造良好的社会环境。本基金会遵守国家宪法、法律、法规和政策，遵守社会道德风尚。	资助宣传表彰见义勇为先进事迹及关心支持见义勇为事业的个人和社会团体；奖励在维护全区社会治安、抢险救灾、救死扶伤事迹突出的见义勇为人员；抚恤在上述斗争中牺牲人员的家属及伤残人员的生活困难、康复治疗等；募集、管理和使用好本会基金，实现基金的保值增值。	公募	2009年04月15日	644万元	省级民政部门	江苏省公安厅	江苏省南京市鼓楼区定淮门大街1号(（鼓楼公安分局)223室	210036	吕丹	于化亭	潘雪平	办公室职员	025-84421671	025-84421671	1816251903@qq.com								无
796	2014	南京市鼓楼教育基金会	Nanjing Gulou Education Foundation	苏民基证字第00424号	50916194-X	致力于加强南京市鼓楼区教育机构与国内外各界的联系和合作，促进区属教育机构教学、科研和基础教育的发展。	接受政府资助和社会捐赠、资助贫困学生、奖励优秀师生、支持鼓楼区教育事业发展、资助其他社会公益活动等。	非公募	2013年06月05日	400万元	省级民政部门	江苏省教育厅	江苏省南京市鼓楼区积贤路科睿小学校内	210036	谢跃宁	潘文莲	万海蓉	出纳	025-52309173	025-52309173	gljyjjh@126.com								无
797	2014	南京师范大学教育发展基金会	Nanjing Normal University Education Development Foundation	苏民基证字第00046号	50915911-8	遵守中华人民共和国宪法、法律、法规、规章和国家政策，遵守社会道德风尚，致力于加强南京师范大学与国内外各界的联系和合作，募集办学资金，奖励、资助南京师范大学师生，推动南京师范大学教育事业的发展。	接受社会捐赠，支持学校建设，奖励优秀师生，资助贫困生。	非公募	2006年02月17日	3,000万元	省级民政部门	江苏省教育厅	江苏省南京市栖霞区仙林大学城文苑路1号南京师范大学厚生楼628室	210023	许兰凤	文晓明	景飞	副秘书长	025-85898510	025-85891993	lfxu@njnu.edu.cn	http://fz.njnu.edu.cn/JiJH.html							公益性捐赠税前扣除资格,非营利组织免税资格
798	2014	南京师范大学泰州学院教育发展基金会	Nanjing Normal University Taizhou College Education Development Foundation	苏民基证字第00077号	50915842-5	遵守中华人民共和国宪法、法律、法规、规章和国家政策，遵守社会道德风尚，致力于加强与国内外各界的联系和合作，筹集办学资金，奖励和资助南京师范大学泰州学院师生，推动南京师范大学泰州学院教育事业的发展。	接受社会捐赠，奖励优秀师生，资助贫困学生完成学业，支持学院建设。	非公募	2006年12月12日	400万元	省级民政部门	江苏省教育厅	江苏省泰州市海陵区东风南路518号	225300	朱秋娇	郭宁生	朱传珍	秘书长	0523-86153000	0523-86153333	290389248@qq.com								公益性捐赠税前扣除资格,非营利组织免税资格
799	2014	南京师范大学附属中学教育发展基金会	Education Foundation of the High School Affiliated to Nanjing Normal University 	苏民基证字第00314号	50916083-2	通过资助服务、利益表达和社会倡导，积极推进素质教育，促进南京师大附中教育事业的发展。	接受政府资助和社会捐赠；资助本校特困学生完成学业；奖励本校优秀师生；支持本校教育事业的发展。	非公募	2011年01月13日	400万元	省级民政部门	江苏省教育厅	江苏省南京市鼓楼区察哈尔路37号	210003	陈亚君	周俊	刘少青	办公室秘书	025-83469003	025-83425737	cyj_nsfz@163.com		0.0	0.0	0.0	0.0	0.0	未参评	公益性捐赠税前扣除资格
800	2014	南京新城市慈善基金会	Nanjing New City Charity Foundation	苏民基证字第00228号	50915996-2	以人为本，关爱民生，扶贫济困，努力构建和谐社会	接受政府资助和社会捐赠；资助城乡特困人员就医、就学和基本生活；资助其他公益事业的发展	非公募	2009年08月26日	200万元	省级民政部门	江苏省民政厅	江苏省南京市鼓楼区五台山百步坡1号行政楼	210036	王寒秋	葛瑜	陈婧	秘书	025-86228888	025-86228565	chenjing@newcitygroup.net		0.0	0.0	0.0	0.0	0.0	未参评	公益性捐赠税前扣除资格
801	2014	南京晓庄学院教育发展基金会	Nanjing Xiaozhuang University Education Development Foundation	苏民基证字第00173号	509159292	争取社会各界的支持与捐助，促进学校事业发展。	接受政府资助和社会捐赠；资助贫困生完成学业；支持学院建设与发展；奖励学校优秀师生。	非公募	2008年07月05日	500万元	省级民政部门	江苏省教育厅	江苏省南京市江宁区弘景大道3601号	211171	薛玉华	李洪天	郑华	会计	025-86178163	025-86178160	ZYuHua@163.com								公益性捐赠税前扣除资格
802	2014	南京林业大学教育发展基金会	Nanjing Forestry University Education Development Foundation	苏民基证字第00174号	50915930-5	遵守宪法、法律、法规和国家政策，争取国内外团体和个人的支持和捐助，妥善管理和运营基金，推动南京林业大学的事业发展，提高教育质量和办学水平。	1、接受政府资助和社会各界的捐赠；2、资助贫困学生完成学业；3、奖励有突出贡献的师生；4、支持学校的建设和发展。	非公募	2008年07月10日	500万元	省级民政部门	江苏省教育厅	江苏省南京市玄武区龙蟠路159号	210037	李化俗	封超年	李化俗	秘书长	025-85427976	025-85427976	nlxyb@njfu.edu.cn	http://xy.njfu.edu.cn	0.0	0.0	0.0	5.0	20.0		公益性捐赠税前扣除资格,非营利组织免税资格
803	2014	南京柯菲平公益基金会	Nanjing Kefeiping Charity Foundation	苏民基证字第00443号	50916215X	帮助更多的人享有健康、快乐、希望的生活，成为人人高效阳光公益的倡导者。	接受政府资助和社会捐赠；帮助社区孤寡老人、自闭症儿童和贫困学子；培养青年义工和公益人才。	非公募	2013年12月26日	300万元	省级民政部门	江苏省民政厅	江苏省南京市玄武区前半山园12号1栋1层	210016	王昊	颜培玲	尧英	秘书长	025-84807686	025--84807686	yenny319@gmail.com	http://www.c-foundation.org/							无
804	2014	南京森林警察学院教育发展基金会	Nanjing Forestry Public Security Education Development Foundation	苏民基证字第00042号	509158070	通过募集资金，促进森林公安教育、科研事业的发展。	接受社会捐赠、募集资金、支持学校教育科研事业、奖励优秀学生、资助贫困学生	非公募	2005年12月30日	220万元	省级民政部门	江苏省教育厅	江苏省南京市栖霞区仙林大学城文澜路28号行政楼202室基建财务科	210046	冯斌	张治平	盛海记	科长	025-85878731	025-88587888	slgajjh@126.com								公益性捐赠税前扣除资格
805	2014	南京海外工商管理专修学院教育基金会	Nanjing Overseas Business Administration Institute Education Foundation	苏民基证字第00154号	50915921-7	遵守中华人民共和国宪法、法律、法规和国家政策，遵守社会道德风尚，为社会公益事业服务。筹集社会资金，支持学院教育事业发展。	接受社会捐赠和政府资助；资助在校贫困生完成学业；奖励优势师生；支持社会公益事业和学院建设与发展。	非公募	2008年06月05日	400万元	省级民政部门	江苏省教育厅	江苏省南京市白下区明瓦廊66号	210005	徐玫	方永兴	袁博	基金会办公室主任	025-86981515	025-83605528	2415178615@qq.com		0.0	0.0	0.0	6.0	0.0	未参评	公益性捐赠税前扣除资格
806	2014	南京牛首山公益慈善基金会	Nanjing Niushoushan Charity Foundation	苏民基证字第00421号	509161915	发扬人道主义精神，弘扬扶危济贫的传统美德，促进社会和谐与发展.	开展赈灾救助、扶贫济困、助学救孤、扶老助残等公益慈善活动，推进牛首山生态文明建设和其他公益慈善事业.	非公募	2013年05月08日	300万元	省级民政部门	江苏省民政厅	江苏省南京市江宁区佛城西路88号	211153	吴世丹	蒋东芸	吴佳佳	理事长	025-81031337	025-81031314	njnsstrzb@126.com								无
807	2014	南京特殊教育职业技术学院教育发展基金会	Nanjing Technical College of Special Education Development Foundation	苏民基证字第00252号	509160197	在遵守中华人民共和国宪法、法律、法规和国家政策，社会道德风尚的前提下，致力于推动中国特殊教育事业发展，多渠道筹集办学资金，争取国内外企业、社会团体、个人的支持和捐助，提高特殊教育人才培养质量和学术水平	多种渠道、多种形式接受捐赠和政府资助；资助南京特殊教育职业技术学院贫困学生；资助基础研究、教育教学研究和教师著作出版、论文发表；资助教师进修深造、参加国内外学术合作和国内外学术会议；支持南京特殊教育职业技术学院建设与发展	非公募	2010年02月04日	219万元	省级民政部门	江苏省教育厅	江苏省南京市栖霞区神农路1号，南京特殊教育职业技术学院教育发展基金会	210038	马宇	丁勇	管才君	科员	025-89668158	025-89668000	njtygfb@163.com								公益性捐赠税前扣除资格
808	2014	南京理工大学教育发展基金会	Nanjing University of Science And Technology Education Development Foundation	苏民基证字第00057号	50915822-2	遵守中华人民共和国宪法、法律、法规、规章和国家政策，遵守社会道德和国家政策，遵守社会道德风尚，致力于加强南京理工大学与国内外各界的联系和合作，募集办学资金、奖励、资助南理工师生，推动南京理工大学教育事业的发展	接受政府资助和社会捐赠；奖励优秀师生；资助困难学生完成学业；支持学校建设与发展。	非公募	2006年07月07日	800万元	省级民政部门	江苏省教育厅	江苏省南京市玄武区孝陵卫200号南京理工大学教育发展基金会	210094	王虎	尹群	程龙	秘书处项目部干事	025-84317107	025-84315194	cjianxun@mail.njust.edu.cn	http://fund.njust.edu.cn	0.0	0.0	1.0	3.0	22.0	5A	公益性捐赠税前扣除资格
809	2014	南京理工大学泰州科技学院教育发展基金会	Education Development Foundation of Taizhou Institute of Sci. and Tech.	苏民基证字第00175号	50915931-3	致力于加强学院与国内外联系和合作,募集办学资金、奖励、资助南理工学生,推动学院教育事业发展。	接受社会捐赠,奖励优秀师生,资助贫困生完成学业,支持学校的建设必发展。	非公募	2008年07月10日	400万元	省级民政部门	江苏省教育厅	江苏省泰州市海陵区梅兰东路8号南京理工大学泰州科技学院办公楼	225300	刘佳	邢爱国	蒋海	会计	0523-86150099	0523-86150900	3464291@qq.com								公益性捐赠税前扣除资格
810	2014	南京理工大学紫金学院教育发展基金会	Nanjing University of Sci. and Tech Zijin College Education Development Foundation	苏民基证字第00201号	509159719	为促进南京理工大学紫金学院的建设和发展，加强与社会各界的联系和合作，争取政府资助和社会团体及自然人的支持和帮助，多渠道筹集资金，支持学院的建设和发展，以提高教育质量和学术水平，本基金会遵守法律、法规和国家政策，遵守社会道德风尚。	接受政府资助和社会捐赠；资助贫困学生完成学业；奖励为学院建设作出贡献的单位和个人；资助学院的建设和发展；资助其他公益事业的发展。	非公募	2008年12月05日	500万元	省级民政部门	江苏省教育厅	江苏省南京市栖霞区仙林大学城文澜路89号行政楼309室	210046	季红霞	丁金陵	于洋	副理事长	025-85786008	025-85786008	zijinshanyu@hotmail.com	http://zj2.njust.edu.cn/							公益性捐赠税前扣除资格
811	2014	南京航空航天大学教育发展基金会	Nanjing University of Aeronautics and Astronautics Education Development Foundation	苏民基证字第00048号	50915813-4	遵守中华人民共和国宪法、法律、规章和国家政策，遵守社会道德风尚，致力于加强南京航空航天大学与境内外各界的联系与合作，募集办学资金，奖励、资助南京航空航天大学师生，推动南京航空航天大学教育事业的发展。	接受社会捐赠，加强与各界联系与合作，募集资金，资助学校建设，奖励优秀师生，资助困难学生。	非公募	2006年04月10日	500万元	省级民政部门	江苏省教育厅	江苏省南京市秦淮区御道街29号南京航空航天大学教育发展基金会	210016	孙建红	陈夏初	徐永利	基金会办公室主任	025-84895855	025-84895855	edf@nuaa.edu.cn	http://edf.nuaa.edu.cn/							公益性捐赠税前扣除资格,非营利组织免税资格
812	2014	南京艺术学院教育发展基金会	Nanjing University of Arts Education Development Foundation	苏民基证字第00054号	50915819-3	汇八方涓流、襄教育伟业，全面支持和推动南京艺术学院的建设和发展。	1、支持南京艺术学院建设和教育事业的发展；2、奖励作出突出贡献的优秀教职员工和品学兼优的在校学生；3、资助在校贫困学生；4、支持、投入与南京艺术学院教育事业有关的其他项目。	非公募	2006年05月29日	200万元	省级民政部门	江苏省教育厅	江苏省南京市鼓楼区虎踞北路15号南京艺术学院行政楼111房间	210013	齐勇	崔雄	徐颖奇	财务	025-83498320	025-83498082	61117142@qq.com								公益性捐赠税前扣除资格,非营利组织免税资格
813	2014	南京财经大学教育发展基金会	Nanjing University of Finance and Economics Education Development Foundation	苏民基证字第00055号	50915820-6	在国家法律法规和政策框架内，广泛利用各种渠道吸纳和筹措资金，奖励、资助南京财经大学师生，支持学校教学科研活动和各项工作，促进南京财经大学事业发展。	接受社会捐赠，资助贫困学生完成学业，奖励优秀师生，支持学校的发展。	非公募	2006年06月20日	400万元	省级民政部门	江苏省教育厅	江苏省南京市栖霞区亚东新城区文苑路3号南京财经大学行政楼	210046	姚智谋	乔均	王冲		025-86718732	025-86718730	yaozm@foxmail.com	http://fzghc.njue.edu.cn/channel.asp?id=5							公益性捐赠税前扣除资格
814	2014	南京邮电大学教育发展基金会	Nanjing University of Posts and Telecommunication Education Development Foundation	苏民基证字第00112号	509158775	汇八方涓流、襄教育伟业，全面支持和推动南京邮电大学的建设和发展。	接受社会捐赠，资助贫困学生完成学业，奖励优秀师生，支持学校建设和发展。	非公募	2007年07月30日	500万元	省级民政部门	江苏省教育厅	江苏省南京市鼓楼区新模范马路66号南京邮电大学275信箱（三牌楼校区）	210003	荆晅	朱永平	钱晓田	科员	025-85866516	025-85866516	jjh@njupt.edu.cn	http://lhbgs.njupt.edu.cn/							公益性捐赠税前扣除资格,非营利组织免税资格
815	2014	南京金陵文化保护发展基金会	Nanjing Jinling Foundation for Culture Development and Protection	苏民基证字第00306号	509160728	保护遗产古迹，传承历史文化，为弘扬中华民族优秀传统文化作出贡献。	（一）接受国内外法人、自然人及其它合法机构的捐赠；（二）资助历史古迹保护、历史文化传承、公益设施建设等公益活动；（三）奖励为南京文化保护做出突出贡献的单位及个人；（四）支持南京文化遗产保护事业的发展	非公募	2010年12月08日	400万元	省级民政部门	江苏省文化厅	江苏省南京市秦淮区区龙蟠中路216号金城大厦16楼	210008	金晓诺	瞿峰	居晶晶	基金会财务	025-83217691	025--83217878	njwsm@vip.sina.com								公益性捐赠税前扣除资格
816	2014	南京金鹰国际慈济基金会	Nanjing Jinying International Charity Foundation	苏民基证字第00044号	50915809-7	发展民间公益慈善事业,支持与推动社会公益和全社会的文明进步与发展	（一）支持特殊教育事业的发展，扶助和奖励残疾人；（二）其他符合基金会宗旨的社会公益事业。	非公募	2006年01月23日	1,000万元	省级民政部门	江苏省侨办	江苏省南京市鼓楼区汉中路89号金鹰国际商城8楼	210029	李桂菊	李桂菊	马丽	副秘书长	025-84708898	025-84708989	gecf@netge.com								公益性捐赠税前扣除资格
817	2014	南京铁道职业技术学院教育发展基金会	Nanjing Institute of Railway Technology Education Foundation	苏民基证字第00269号	50916037-3	遵守中华人民共和国宪法、法律、规章和国家政策，遵守社会道德风尚，致力于加强南京铁道职业技术学院与国内外各界的联系和合作，筹集办学资金，资助贫困学生，改善办学条件，支持学院建设，推动南京铁道职业技术学院教育事业的发展。	接受政府资助和社会捐赠；资助在校贫困学生完成学业；奖励有突出贡献的优秀师生；支持学院的建设和发展。	非公募	2010年06月01日	300万元	省级民政部门	江苏省教育厅	江苏省南京市下关区建宁路65号南京铁道职业技术学院办公楼	210031	钱闻明	钱吉奎	徐洁	会计	025-68533030	025-68533031	njxj88@163.com								公益性捐赠税前扣除资格,非营利组织免税资格
818	2014	南京鼓楼医院医学发展医疗救助基金会	Nanjing Gulou Hospital Medical Aid Foundation  for Medical Development	苏民基证字第00126号	0915891-9	医学发展、医疗救助	（一）接受政府资助，接受法人、自然人和其他组织的捐赠；（二）在一定范围内组织资金筹集活动；（三）资助城乡特困人员医疗；（四）支持医院的医学研究和人才培养。（五）倡导义务服务，增进社会和谐。	非公募	2007年09月19日	260万元	省级民政部门	江苏省卫生厅	江苏省南京市玄武区中山路321号1892楼3楼南京市鼓楼医院院办	210008	伊澎	周长江	齐晓敏	办公室主任	025-83105860	025-83317016	njdthospital@163.com	http://www.njglyy.com/							非营利组织免税资格
819	2014	南充市教育基金会	Nanchong Education Foundation	（川）基证字第015号	50489543-4	多渠道筹集资金，开展奖教助学活动，支持学校建设，促进我市教育事业的发展。	支持全市各级各类学校建设，表彰奖励优秀教师、优秀教育工作者、品学兼优、家庭贫困的各类学生及尊师重教的先进集体和个人。	公募	1996年05月01日	461万元	省级民政部门	四川省教育厅	四川省南充市顺庆区镇泰路2号教育大厦6楼	637000	彭善平	申庆明	赵伟苏	工作人员	0817-2810011	0817-2810006	ncefncef@126.com	http://www.ncef.org.cn/	0.0	0.0	0.0	0.0	0.0	未参评	无
820	2014	南充市高坪区阳光助学基金会	Nanchong Gaoping Sunshine Education Foundation	（川）基证字第522号	696969038	济困助学，服务高坪教育。	募集教育基金，济困助学，帮助基础教育阶段贫困学生完成学业以及对考上大学因家庭贫困伤不起大学的学生进行资助	非公募	2009年10月22日	200万元	省级民政部门	南充市教育局	四川省南充市高坪区教育大厦	637100	李沁	刘培元	冯治理	出纳	0817-3390777	0817-3336454	870277669@qq.com		0.0	0.0	0.0	0.0	0.0	未参评	公益性捐赠税前扣除资格
821	2014	南宁市教育基金会	Nanning Education Foundation	南基证字第1号	50716080-4	募集教育基金，奖教奖学，扶贫助学，帮助改善南宁市教育的办学条件，推动南宁市教育事业发展。	接收社会各界教育捐款；奖励市级以上优秀教师、教育工作者；奖励市级以上三好学生和获得重大荣誉的优秀学生；扶助贫困学生完成学业；帮助困难学校改善办学条件。	公募	1996年06月01日	500万元	省级民政部门	广西壮族自治区教育厅	广西壮族自治区南宁市青秀区金洲路22号市教育局文体馆一楼	530022	莫尧	陈中亮	于丹	办公室工作人员	0771-2618970	0771-5775296	A2618970@126.com		0.0	0.0	1.0	3.0	2.0	5A	公益性捐赠税前扣除资格
822	2014	南安市仑苍镇教育发展基金会	Nan'an Luncang Education Development Foundation	基证字第8090号	67849115-7	扶持各类学校均衡发展，奖励优秀学子，帮助贫困学生完成学业，在全社会营造尊师重教的良好氛围。	（一）宣传尊师重教；（二）改善本镇中小学幼儿园办学条件；（三）奖励优秀教师（教育工作者）、教育世家、奖励优秀学生；（四）扶持家庭经济困难学生入学，资助特困教师；	非公募	2008年09月02日	200万元	省级民政部门	泉州市教育局	福建省泉州市南安市仑苍镇仑苍街298号A幢108室	362304	李茂松	陈由兴	李茂松	秘书长	0595-86189928	0595-86183703	lczjyfzjjh@163.com	http://www.lcjyjjh.com	0.0	0.0	0.0	1.0	2.0	4A	公益性捐赠税前扣除资格
823	2014	南安市官桥镇林荣南教育基金会	Nan'an Guanqiao Linrongnan Education Foundation	基证字第8140号	054333011	开展对优秀师生和贫困师生的奖励和资助，在全社会营造尊师重教，关心、支持教育的良好氛围，促进我镇教育事业的发展	宣传尊师重教；奖励优秀教师和学生；资助特困教师、贫困学生。	非公募	2012年09月10日	200万元	省级民政部门	泉州市教育局	福建省泉州市南安市官桥镇人民政府办公楼四层	362341	潘阿波	林姜维	潘阿波	秘书长	0595-86883440		panabo@126.com								
824	2014	南安市山前扶贫基金会	Nanan City Shanqian Foundation for Poverty Alleviation	基证字第8155号	075019806	安老、帮学、济困。	改善贫困户生活条件，资助重大疾病家庭困难户。资助贫困学生，资助贫困老人。	非公募	2013年07月26日	200万元	省级民政部门	福建省民政厅	福建省泉州市南安市水头镇奎峰路169-171号	362342	王延年	王延生	王延年	秘书长	0595-86982450	0595-86962857	ckj86968305@sohu.com		0.0	0.0	0.0	2.0	11.0	1A	无
825	2014	南安市李德茂教育基金会	Nan'an Lidemao Education Foundation	基证字第8107号	69900719-2	遵纪守法、助学、奖教、促进教育事业的发展	资助贫困教师、学生；奖励优秀教师、学生；支持开展教育教学活动。	非公募	2009年12月05日	200万元	省级民政部门	泉州市教育局	福建省泉州市南安市金淘镇金淘村南一2000号侨光中学校友楼二楼	362314	李小刚	陈明灿	黄怀河	理事	0595-86411727	0595-86411655	naqgzx@126.com	http://www.fjmjzz.com/search/model/temple1/index.asp?id=1224	0.0	0.0	0.0	3.0	9.0	未参评	无
826	2014	南安市石井创新社会管理公益基金会	Nan'an Shijing Innovative Society Management Foundation	基证字第8134号	597863182	创新社会管理方式，积极发展公益事业，维护社会秩序、促进社会和谐、保障人民安居乐业，推动社会文明与进步。	扶贫救困，奖教助学；资助生育关怀活动，资助城乡环保，奖励见义勇为，资助公益。	非公募	2012年05月28日	200万元	省级民政部门	泉州市民政局	福建省泉州市南安市石井镇政府路1号镇政府机关大院210室	362343	杨建加	曾小倡	王逸群		0595-86097965	0595-86097965	434522637@qq.com		4.0	0.0	0.0	4.0	0.0	3A	公益性捐赠税前扣除资格
827	2014	南安市芙蓉基金会	Nan'an Furong Foundation	基证字第8027号	51285402-6	遵照捐赠人的意愿在南安梅山芙蓉侨乡或其他地区兴办各项公益事业，旨在促进教育、文化、科学技术、医疗卫生及其他社会公益事业的发展。	完善和发展光前学村教育、文化、卫生的设施和规模，颁发奖教和奖助学金，兴办社会福利和其他社会公益事业。	非公募	1991年12月31日	210万元	省级民政部门	福建省侨办	福建省泉州市南安市梅山镇光前西路84号南益别墅	362321	李渐来	李扬川	李翠霞	办公室干事	0595-86585155	0595-86585899	furongjjh@163.com		0.0	0.0	0.0	13.0	0.0	5A	公益性捐赠税前扣除资格
828	2014	南安市英都教育基金会	Nan'an Yingdu Education Foundation	基证字第8076号	66929046-8	奖学奖教、助学助教，促进英都教育事业发展。	本镇教育系统师生奖学奖教、助学助教活动。	非公募	2008年01月07日	205万元	省级民政部门	泉州市教育局	福建省泉州市南安市英都镇企业办公大楼201-203室	362305	洪宗洲	洪清平	洪双生	英都中心小学校长	0595-86155829	0595-86155829	YDXQ688@126.com		4.0	0.0	0.0	0.0	3.0		非营利组织免税资格
829	2014	南安市黄良庵慈善基金会	Nang'an Huangliang'an Charity Foundation	基证字第8132号	589552421	接受黄良庵家族成员自愿捐赠，资助特困人口就学、就医，扶贫济困。	接受黄良庵家族成员自愿捐赠，资助特困人口就学、就医，扶贫济困。	非公募	2012年01月04日	200万元	省级民政部门	泉州市民政局	福建省泉州市南安市罗东镇埔心村黄良庵大宗祠内	362324	黄民进	黄金城	黄奕典	理事	0595-86550658	0595-86550658	kqq100@sina.com	http://www.hla888.com/	0.0	0.0	0.0	1.0	45.0	4A	公益性捐赠税前扣除资格
830	2014	南平市困难党员帮扶基金会	Nanping Supporting Foundation for Party Members in Need	基证字第8070号	66283383-7	以邓小平理论、“三个代表”重要思想为指导，贯彻落实科学发展观，以困难党员为主要帮扶对象，以提供发展生产小额贷款担保为主要帮扶形式，为困难党员及帮助困难党员就业的企业、个体工商户提供贷款担保，为困难党员劳动就业和发展生产开展培训，为困难党员的生活、就医及子女就学提供资助，帮助困难党员发展致富，促进困难党员	（一）筹集、管理和使用困难党员帮扶基金；（二）为困难党员及帮助困难党员就业的企业、个体工商户发展生产提供贷款担保；（三）为困难党员增强发展生产的能力开展培训和宣传指导活动；（四）为困难党员的生活、就医及子女就学提供资助。	非公募	2007年06月16日	256万元	省级民政部门	南平市民政局	福建省南平市延平区人民路196号6层市委组织部党管科	353000	张桂辉	周意	黄娟	副主任科员（兼职）	0599-8867616	0599-8867616	npszdgk@163.com		0.0	0.0	0.0	2.0	0.0	4A	无
831	2014	南昌市教育基金会	Nanchang Education Foundation	赣基证字第017号	69096763-X	推动社会关心、支持教育、弘扬尊师重教社会风尚，筹集资金，开展奖教励先、扶贫济困活动，促进我市教育改革和教育事业发展。	资助南昌市教育发展，扶助贫困学生和困难教师。	公募	2009年07月08日	400万元	省级民政部门	江西省教育厅	江西省南昌市东湖区民德路215号	330008	韦小工	张留真	张军丽	财务室	0791-86217801	0791-86217801	747486795@qq.com								公益性捐赠税前扣除资格,非营利组织免税资格
832	2014	南昌市汇仁教育基金会	Nanchang Huiren Education Foundation	洪民基证字第001号	06746942-8	以资助奖励形式，推动教育事业发展	（一）教学设备购置；（二）优秀教职工引进；（三）困难学生帮扶；（四）优秀学生奖励；（五）困难家庭补助；（六）孤寡老人关爱。	非公募	2013年04月25日	1,000万元	市级民政部门	无	江西省南昌市南昌县迎宾中大道1189号	330052	郑建英	刘菲	郑建英	秘书长	0791-85762263	0791-85762255	zjy_168@163.com		0.0	0.0	0.0	3.0	0.0	未参评	无
833	2014	南昌市青少年发展基金会	Nanchang Youth Development Foundation	赣基证字第47号	087101540	专注于“青之助”-青少年身心健康成长、“青之创”-助力青年创业梦、”“青之翼”-青年公益大发展。	组织开展和资助有利于青少年身心健康的各类活动、扶持青年创业等社会公益事业。	公募	2013年12月16日	400万元	省级民政部门	共青团江西省委	江西省南昌市东湖区红谷滩新区雄州路169号市委北五楼	330038	施展	胡剑峰	葛建珍	专职副秘书长	0791-83853863	0791-83853863	2897363483@qq.com	http://www.nqfound.com/	0.0	0.0	36.0	7.0	100.0	未参评	公益性捐赠税前扣除资格
834	2014	南航“十分”关爱基金会	CSN 'Ten Cent' Foundation	基证字第1025号	50001971-X	为扶贫济困、救孤助残、赈灾救援、抗击疫情、助学兴教等社会公益活动提供资助或奖励，弘扬社会美德，彰显企业责任，引导社会风尚。	为扶贫救困、救孤助残、赈灾救援、抗击疫情、助学兴教等社会社会公益活动进行捐助。	非公募	2005年05月13日	2,000万元	民政部	中国民用航空总局	广东省广州市天河区机场路278号南方航空公司办公大楼	510406	苏从跃	谭万庚	傅建勋	基金会办公室主任	020-86123413	020-86114986	fujxun@csair.com	http://www.csair.cn	0.0	0.0	0.0	8.0	98.0	3A	公益性捐赠税前扣除资格,非营利组织免税资格
835	2014	南通公安大病特困救助基金会	Nantong Police' Foundation for Severe Illness and Poverty Alleviation	苏民基证字第00327号	509160947	遵守国家法律法规，遵守社会道德风尚，关爱民警、扶危助困、为警分忧、凝聚警心，推进和谐警营建设。	接受政府资助和社会捐赠；资助南通患严重疾病的民警和因公牺牲、伤残的民警家庭。	非公募	2011年04月28日	300万元	省级民政部门	江苏省公安厅	江苏省南通市崇川区青年东路199号	226007	陆玲玲	吴勉信	黄河	理事	0513-85020327	0513-85020327	2577045240@qq.com								公益性捐赠税前扣除资格
836	2014	南通大学教育发展基金会	Nantong University Education Development Foundation	苏民基证字第00066号	509158310	推动教育事业的发展，多渠道筹集办学资金，争取国内外的企业、社会团体、个人的支持和捐助，促进南通大学教育事业的发展。	受社会捐助；励优秀师生；资助贫困学生完成学业；支持学校的建设与发展。	非公募	2006年08月08日	5,000万元	省级民政部门	江苏省教育厅	江苏省南通市崇川区啬园路9号发展规划处	226019	杨建新	董正超	李勤	南通大学发展规划处助理研究员	0513-85012127	0513-85012127	ntuedf@ntu.edu.cn	http://edf.ntu.edu.cn/							公益性捐赠税前扣除资格,非营利组织免税资格
837	2014	南通市崇川区慈善基金会	Nantong Chongchuan Charity Foundation	苏民基证字第00119号	50915886-3	以人为本，关爱民生，扶贫济困，努力构建和谐社会。	接受社会捐赠与政府资助，组织募捐，资助城乡特困人员就医就学和基本生活	公募	2007年08月29日	400万元	省级民政部门	江苏省民政厅	江苏省南通市崇川区桃坞路44号	226000	朱荣苏	凌曙华	吴秀峰	副秘书长	0513-85062488	0513-55082249	1439042265@qq.com								公益性捐赠税前扣除资格,非营利组织免税资格
