机构ID	机构名称	数据年度	捐赠收入_限定	会费收入_限定	提供服务收入_限定	政府购买服务收入_限定	商品销售收入_限定	政府补助收入_限定	投资收益_限定	其他收入_限定	收入合计_限定	业务活动成本_限定	管理费用_限定	筹资费用_限定	其他费用_限定	费用合计_限定	限定性净资产转为非限定性净资产_限定	调整净资产_限定	净资产变动额（若为净资产减少额，以“-”号填列）_限定	捐赠收入_非限定	会费收入_非限定	提供服务收入_非限定	政府购买服务收入_非限定	商品销售收入_非限定	政府补助收入_非限定	投资收益_非限定	其他收入_非限定	收入合计_非限定	业务活动成本_非限定	管理费用_非限定	筹资费用_非限定	其他费用_非限定	费用合计_非限定	限定性净资产转为非限定性净资产_非限定	调整净资产_非限定	净资产变动额（若为净资产减少额，以“-”号填列）_非限定
783	南京市江宁区见义勇为基金会	2014	1,354,600.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,354,600.00	262,219.30	0.00	0.00	0.00	262,219.30	0.00		1,092,380.70	0.00	0.00	0.00	0.00	0.00	300,000.00	0.00	1,498,577.67	1,798,577.67	0.00	178,124.50	0.00	0.00	178,124.50	0.00		1,620,453.17
785	南京市浦口区扶贫基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	2,200,000.00	0.00	42,826.29	2,242,826.29	2,330,635.35	23,837.00	0.00	0.00	2,354,472.35	0.00		-111,646.06
786	南京市浦口区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	800,000.00	400,000.00	16,135.40	1,216,135.40	55,975.80	0.00	0.00	0.00	55,975.80	0.00		1,160,159.60
787	南京市溧水区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	120,000.00	1,778.89	121,778.89	58,700.00	2,500.00	0.00	0.00	61,200.00	0.00		180,578.89
788	南京市爱心援助特困职工基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	986,361.75	1,111.01	987,472.76	580,560.00	33,482.10	0.00	0.00	614,042.10	0.00		373,430.66
789	南京市玄武区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	550,000.00	0.00	0.00	0.00	0.00	0.00	250,000.00	280,198.28	1,080,198.28	119,552.00	53,825.00	580.00	62,500.00	236,457.00	0.00		843,741.28
790	南京市秦淮区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	300,000.00	0.00	0.00	0.00	0.00	0.00	0.00	287,816.14	587,816.14	185,454.75	5,000.00	0.00	630.00	191,084.75	0.00		206,983.06
791	南京市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	114,000.00	0.00	0.00	0.00	0.00	1,000,000.00	0.00	281,372.93	1,395,372.93	2,102,585.00	309,769.64	0.00	0.00	2,412,354.64	0.00		-1,017,031.71
792	南京市金陵中学教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	2,730,000.00	0.00	0.00	0.00	0.00	0.00	0.00	53,053.56	2,783,053.56	1,248,377.00	7,500.00	0.00	0.00	1,255,877.00	0.00		1,527,176.56
793	南京市雨花台区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	600,000.00	610,000.00	1,678.34	1,211,678.34	166,155.00	51,635.50	0.00	630.00	218,420.50	0.00		993,257.84
794	南京市高淳区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,050,000.00	0.00	0.00	0.00	0.00	470,000.00	0.00	551,763.05	2,071,763.05	76,000.00	31,222.00	0.00	0.00	107,222.00	0.00		1,964,541.05
795	南京市鼓楼区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	20,000.00	0.00	0.00	0.00	0.00	0.00	0.00	329,897.21	349,897.21	63,100.00	126,495.00	0.00	0.00	189,595.00	0.00		160,302.21
796	南京市鼓楼教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		50,000.00	39,471,720.00	0.00	0.00	0.00	0.00	0.00	0.00	467,939.19	39,939,659.19	23,400,023.40	28,184.78	2,100.00	0.00	23,430,308.18	0.00		16,509,351.01
797	南京师范大学教育发展基金会	2014	2,738,750.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,738,750.00	4,149,620.00	0.00	0.00	0.00	4,149,620.00	0.00		-1,410,870.00	13,013,847.81	0.00	0.00	0.00	0.00	0.00	7,331,944.44	8,417.78	20,354,210.03	16,615,200.00	78,789.73	180,226.50	410,588.89	17,284,805.12	0.00		3,069,404.91
798	南京师范大学泰州学院教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	305,000.00	0.00	0.00	0.00	0.00	0.00	0.00	1,741,213.49	2,046,213.49	8,189,670.61	61,760.50	0.00	0.00	8,251,431.11	0.00		-6,205,217.62
800	南京新城市慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	2,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,000,000.00	2,492,880.00	7,108.00	-1,789.28		2,498,198.72	0.00		-498,198.72
801	南京晓庄学院教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7,565.00	0.00	0.00	7,565.00	0.00		0.00
802	南京林业大学教育发展基金会	2014	835,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	835,000.00	493,034.90	0.00	0.00	0.00	493,034.90	0.00		341,965.10	10,964,035.71	0.00	0.00	0.00	0.00	0.00	0.00	1,588,924.23	12,552,959.94	20,234,235.00	8,050.00	0.00	0.00	20,242,285.00	0.00		-7,689,325.06
803	南京柯菲平公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	2,467,631.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,467,631.60	1,913,563.14	166,293.12	263,394.60	270,877.87	2,614,128.73	0.00		-131,494.95
804	南京森林警察学院教育发展基金会	2014	350,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	350,000.00	353,600.00	0.00	0.00	0.00	353,600.00	0.00		-3,600.00	2,000.00	0.00	0.00	0.00	0.00	0.00	0.00	10,910.25	12,910.25	41,416.00	61,606.17	0.00	0.00	103,022.17	0.00		-90,111.92
805	南京海外工商管理专修学院教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	8,983.80	0.00	0.00	0.00	0.00	0.00	0.00	285,000.00	293,983.80	30,540.00	7,757.10	-5,209.40	100.00	33,187.70	0.00		260,796.10
806	南京牛首山公益慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	19,713.31	19,713.31	260,000.00	256.00	0.00	0.00	260,256.00	0.00		-240,542.69
807	南京特殊教育职业技术学院教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	100,000.00	0.00	0.00	0.00	0.00	0.00	0.00	38,963.75	138,963.75	5,562,584.50	3,570.00	0.00	0.00	5,566,154.50	0.00		-5,427,190.75
808	南京理工大学教育发展基金会	2014	5,779,550.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5,779,550.00	8,327,249.74	0.00	0.00	0.00	8,327,249.74	0.00		-2,547,699.74	329,169.00	0.00	0.00	0.00	0.00	0.00	0.00	6,936,358.39	7,265,527.39	5,051,979.93	276,916.73	19,572.31	0.00	5,348,468.97	0.00		1,917,058.42
809	南京理工大学泰州科技学院教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	255,260.00	0.00	0.00	0.00	0.00	0.00	0.00	193,409.04	448,669.04	3,000,000.00	39,000.00	0.00	565.00	3,039,565.00	0.00		-2,590,895.96
810	南京理工大学紫金学院教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	25,290,000.00	0.00	0.00	0.00	0.00	0.00	0.00	163,366.28	25,453,366.28	8,113,800.00	44,168.67	1.00	0.00	8,157,969.67	0.00		17,295,396.61
811	南京航空航天大学教育发展基金会	2014	816,305.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	816,305.48	1,206,346.89	0.00	0.00	0.00	1,206,346.89	0.00		-390,041.41	1,534,829.41	0.00	0.00	0.00	0.00	0.00	800,000.00	16,813,637.16	19,148,466.57	23,270,913.00	4,181.98	0.00	0.00	23,275,094.98	0.00		-4,126,628.41
812	南京艺术学院教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,715,000.00	0.00	0.00	0.00	0.00	0.00	0.00	178,329.89	1,893,329.89	14,215,000.00	3,200.00	571.30	0.00	14,218,771.30	0.00		-12,325,441.41
813	南京财经大学教育发展基金会	2014	1,364,867.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,364,867.18	729,000.00	0.00	0.00	0.00	729,000.00	0.00		635,867.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	21,840.28	21,840.28	11,020,000.00	37,700.00	0.00	0.00	11,057,700.00	0.00		-11,036,277.22
814	南京邮电大学教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	6,383,627.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6,383,627.49	8,937,210.50	8,897.00	-163,270.91	0.00	8,782,836.59	0.00		-2,399,209.10
815	南京金陵文化保护发展基金会	2014	300,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	300,000,000.00	2,386,618.00	0.00	0.00	0.00	2,386,618.00	0.00		297,613,382.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13,085,973.42	13,085,973.42	4,627,782.00	469,533.68	45,443.15	0.00	5,142,758.83	0.00		7,943,214.59
816	南京金鹰国际慈济基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	363,120.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	363,120.00	1,355,400.00	12,791.00	-185,403.33	0.00	1,182,787.67	0.00		-819,667.67
817	南京铁道职业技术学院教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	107,599.95	107,599.95	0.00	3,514.50	0.00	0.00	3,514.50	0.00		104,085.45
818	南京鼓楼医院医学发展医疗救助基金会	2014	200,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	200,000.00	86,850.00	0.00	0.00	0.00	86,850.00	0.00		113,150.00	10,067,978.96	0.00	0.00	0.00	0.00	0.00	0.00	669,435.52	10,737,414.48	4,221,683.06	39,125.00	1,000.00	6,320.00	4,268,128.06	0.00		6,469,286.42
819	南充市教育基金会	2014	886,000.00	0.00	0.00	0.00	0.00	690,000.00	0.00	0.00	1,576,000.00	1,506,000.00	0.00	0.00	0.00	1,506,000.00	350,400.00		420,400.00	263,250.00	0.00	0.00	0.00	0.00	0.00	0.00	9,245.25	272,495.25	224,000.00	119,407.60	0.00	0.00	343,407.60	-350,400.00		-421,312.35
820	南充市高坪区阳光助学基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	329,000.00	0.00	0.00	0.00	0.00	50,000.00	0.00	655,880.71	1,034,880.71	411,449.00	43,353.50	0.00	0.00	454,802.50	0.00		580,078.21
821	南宁市教育基金会	2014	100,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100,000.00	100,000.00	0.00	0.00	0.00	100,000.00	0.00		0.00	13,039,078.25	0.00	0.00	0.00	0.00	150,000.00	231,882.07	0.00	13,420,960.32	12,176,997.61	255,579.40	0.00	0.00	12,432,577.01	0.00		988,383.31
822	南安市仑苍镇教育发展基金会	2014	247,000.00	0.00	0.00	0.00	0.00	860,000.00	0.00	0.00	1,107,000.00	428,744.80	0.00	0.00	0.00	428,744.80	0.00		678,255.20	1,022,000.00	0.00	0.00	0.00	0.00	0.00	0.00	2,461.29	1,024,461.29	1,912,058.00	23,308.52	11,126.50	600.00	1,947,093.02	0.00		-922,631.73
824	南安市山前扶贫基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	192,000.00	0.00	0.00	0.00	0.00	0.00	0.00	175.43	192,175.43	192,707.00	19,639.86	0.00	0.00	212,346.86	0.00		-20,171.43
825	南安市李德茂教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	565,004.09	0.00	0.00	0.00	0.00	0.00	0.00	377,568.02	942,572.11	448,137.00	8,356.00	0.00	0.00	456,493.00	0.00		486,079.11
826	南安市石井创新社会管理公益基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,300,000.00	0.00	0.00	0.00	0.00	0.00	0.00	6,711.85	1,306,711.85	608,700.00	11,415.32	0.00	0.00	620,115.32	0.00		686,596.53
827	南安市芙蓉基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	10,000.00	70,452.70	8,660,901.36	8,741,354.06	13,214,619.52	874,383.93	0.00	0.00	14,089,003.45	0.00		-5,347,649.39
828	南安市英都教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	190,000.00	160.81	190,160.81	192,200.00	15,032.46	0.00	0.00	207,232.46	0.00		-17,071.65
829	南安市黄良庵慈善基金会	2014	2,540,100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,540,100.00	1,440,100.00	0.00	0.00	0.00	1,440,100.00	0.00		0.00	1,533,790.00	0.00	0.00	0.00	0.00	0.00	0.00	293,500.98	1,827,290.98	426,962.00	71,949.60	214,503.50	0.00	713,415.10	0.00		2,213,875.88
830	南平市困难党员帮扶基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	2,744,500.00	0.00	0.00	0.00	0.00	0.00	0.00	206,218.85	2,950,718.85	2,301,000.00	12,225.55	0.00	0.00	2,313,225.55	0.00		637,493.30
831	南昌市教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	37,241.60	0.00	0.00	0.00	0.00	0.00	0.00	461,822.26	499,063.86	27,479,523.37	229,868.87	447.00	120.00	27,709,959.24	0.00		-27,210,895.38
832	南昌市汇仁教育基金会	2014	600,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	600,000.00	876,000.00	12,012.50	-840.24	0.00	887,172.26	0.00		-287,172.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00
833	南昌市青少年发展基金会	2014	542,595.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	542,595.99	0.00	0.00	0.00	0.00	0.00	0.00		542,595.99	289,124.44	0.00	0.00	0.00	0.00	0.00	105,161.97	1,365.19	395,651.60	1,583,664.48	85,839.86	940.39	0.00	1,670,444.73	0.00		-1,274,793.13
834	南航“十分”关爱基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	7,336,087.30	0.00	0.00	0.00	0.00	0.00	0.00	874,933.97	8,211,021.27	6,605,400.00	330,788.40	0.00	0.00	6,936,188.40	0.00		1,274,832.87
835	南通公安大病特困救助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	53,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	5,700,000.00	58,700,000.00	4,434,000.00	0.00	470,400.00	1,829.90	4,906,229.90	0.00		53,823,506.10
836	南通大学教育发展基金会	2014	972,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	972,000.00	980,000.00	0.00	0.00	0.00	980,000.00	0.00		-8,000.00	678,358.30	0.00	0.00	0.00	0.00	0.00	184,200.00	234,018.20	1,096,576.50	487,604.00	0.00	0.00	0.00	487,604.00	0.00		608,972.50
837	南通市崇川区慈善基金会	2014	1,426,103.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,426,103.50	122,297.70	0.00	0.00	0.00	122,297.70	0.00		1,303,805.80	732,024.58	0.00	0.00	0.00	0.00	800,000.00	1,580,000.00	2,867.58	3,114,892.16	1,579,720.00	14,122.30	0.00	0.00	1,593,842.30	0.00		1,521,049.86
838	南通市崇川区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	840,000.00	3,873.33	843,873.33	636,095.20	53,986.14	0.00	0.00	690,081.34	100,000.00		253,791.99
839	南通市广播电视大学教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	149,870.20	0.00	0.00	0.00	0.00	0.00	0.00	183,612.85	333,483.05	613,897.50	1,079.00	0.00	0.00	614,976.50	0.00		-281,493.45
840	南通市慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,400,000.00	34,387.72	2,434,387.72	2,847,760.80	4,000.00	665.00	0.00	2,852,425.80	0.00		-418,038.08
841	南通市法律援助基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	760,161.58	760,161.58	132,489.05	39,887.72	0.00	0.00	172,376.77	0.00		587,784.81
842	南通市港闸区慈善基金会	2014	120,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	120,000.00	120,000.00	2,000.00	0.00	0.00	122,000.00	0.00		0.00	109,750.00	0.00	0.00	0.00	0.00	0.00	0.00	615,000.00	724,750.00	103,527.00	2,000.00	0.00	0.00	105,527.00	0.00		619,223.00
843	南通市港闸区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	60,000.00	0.00	0.00	0.00	0.00	0.00	602,559.62	1,295.32	663,854.94	277,390.70	29,732.80	-98.17	0.00	307,025.33	0.00		356,829.61
844	南通市爱心帮困基金会	2014	140,700.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	140,700.00	0.00	0.00	0.00	0.00	0.00	-216,720.00		-216,720.00	721,689.00	0.00	0.00	0.00	0.00	3,742,700.00	1,003,013.89	82,782.15	5,550,185.04	3,221,252.50	35,250.67	0.00	0.00	3,256,503.17	216,720.00		2,510,401.87
845	南通市老区扶贫基金会	2014	2,742,950.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,742,950.00	2,293,440.00	0.00	0.00	0.00	2,293,440.00	0.00		449,510.00	0.00	0.00	0.00	0.00	0.00	0.00	4,390,000.00	63,746.88	4,453,746.88	3,375,339.00	287,679.00	0.00	0.00	3,663,018.00	0.00		790,728.88
846	南通市见义勇为基金会	2014	1,690,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,690,000.00	0.00	0.00	0.00	0.00	0.00	0.00		1,690,000.00	0.00	0.00	0.00	0.00	0.00	1,000,000.00	0.00	1,002,642.14	2,002,642.14	1,188,097.50	79,149.90	0.00	0.00	1,267,247.40	0.00		735,394.74
847	南通市通州区慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	6,960,034.70	0.00	0.00	0.00	0.00	0.00	0.00	5,313,751.43	12,273,786.13	8,874,386.37	158,054.35	0.00	0.00	9,032,440.72	0.00		0.00
848	南通市通州区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	5,001,298.89	0.00	220,855.16	5,222,154.05	84,200.00	8,578.00	0.00	0.00	92,778.00	0.00		5,129,376.05
849	南通开发区慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	450,049.23	450,049.23	329,600.00	0.00	0.00	75.00	329,675.00	0.00		0.00
850	南通泰慕士爱心基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	5,200.00	0.00	0.00	0.00	0.00	0.00	305,856.00	518.22	311,574.22	210,764.77	10,975.00	0.00	626.00	222,365.77	0.00		89,208.45
851	南通理治教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	50,000.00	0.00	0.00	0.00	0.00	0.00	252,083.11	2,867.59	304,950.70	251,540.00	5,984.25	0.00	0.00	257,524.25	0.00		47,426.45
852	江苏工程职业技术学院教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	464,000.00	0.00	0.00	0.00	0.00	0.00	0.00	32,018.47	496,018.47	1,303,118.40	36,115.00	0.00	0.00	1,339,233.40	0.00		-843,214.93
853	南通经济技术开发区见义勇为基金会	2014	132,500.00	0.00	0.00	0.00	0.00	0.00	0.00	428,195.66	560,695.66	618,344.00	0.00	0.00	0.00	618,344.00	0.00		-57,648.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00
854	南通职业大学教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	127,065.00	0.00	0.00	0.00	0.00	0.00	0.00	132,294.09	259,359.09	132,000.00	4,300.00	0.00	635.00	136,935.00	0.00		122,424.09
855	南通高等师范学校教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1,848.98	-1,848.98	0.00		1,848.98
856	南都公益基金会	2014	12,459,839.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	12,459,839.87	0.00	0.00	0.00	0.00	0.00	-4,157,659.80		8,302,180.07	9,012,481.84	0.00	0.00	0.00	0.00	0.00	6,627,165.71	122,605.21	15,762,252.76	27,943,160.13	1,211,954.92	12,086.91	0.00	29,167,201.96	4,157,659.80		-9,247,289.40
857	南阳油田中小学教师奖励基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	1,288,000.00	0.00	0.00	0.00	0.00	0.00	0.00	52,617.85	1,340,617.85	831,880.00	27,483.00	0.00	372.40	859,735.40	0.00		480,882.45
859	厦门中山医院基金会	2014	2,034,383.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,034,383.00	1,373,901.29	0.00	0.00	0.00	1,373,901.29	0.00		660,481.71	0.00	0.00	0.00	0.00	0.00	0.00	1,016,613.32	5,125.24	1,021,738.56	272,143.49	120,071.26	76,450.84	0.00	468,665.59	0.00		553,072.97
860	厦门仁爱医疗基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	138,500,000.00	0.00	0.00	0.00	0.00	0.00	0.00	29,298.06	138,529,298.06	125,000,000.00	284,665.07	0.00	700.00	125,285,365.07	0.00		13,243,932.99
861	厦门双十中学教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6,276.02	6,276.02	881,175.00	1,140.00	0.00	74.20	882,389.20	0.00		0.00
862	厦门大博医疗慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	60,431.42	0.00	60,431.42	1,102,200.00	1,727.00	-430.19	0.00	1,103,496.81	0.00		56,934.61	1,100,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,100,000.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00
863	厦门大学教育发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	127,665,864.47	0.00	0.00	0.00	0.00	0.00	557,697.43	15,206,185.68	143,429,747.58	97,482,888.89	474.00	464,018.01	0.00	97,947,380.90	0.00		45,482,366.68
864	厦门大学陈安国际法学发展基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	84,750.00	0.00	0.00	0.00	0.00	0.00	0.00	95,816.26	180,566.26	160,375.60	14,378.00	0.00	1,137.58	175,891.18	0.00		4,675.08
865	厦门工商旅游学校教育基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00		0.00	86,355.50	0.00	0.00	0.00	0.00	0.00	0.00	61,773.71	148,129.21	168,788.00	3,175.50	0.00	0.00	171,963.50	0.00		-23,834.29
