机构ID	机构名称	数据年度	接受捐赠收到的现金	收取会员费收到的现金	提供服务收到的现金	销售商品收到的现金	政府补贴收到的现金	收到的与其他业务有关的现金	业务活动现金流入小计	提供捐赠或者资助支付的现金	支付给员工以及员工支付的现金	购买商品接受服务支付的现金	支付的其他与业务有关的现金	业务活动现金流出小计	业务活动产生的现金净流量	收回投资所收到的现金	取得投资收益所收到的现金	处置固定资产和无形资产所收回的现金	收到的其他与投资有关的现金	投资活动现金流入小计	购建固定资产和无形资产所支付的现金	对外投资所支付的现金	支付的其他与投资活动有关的现金	投资活动现金流出小计	投资活动产生的现金流量净额	借款所收到的现金	收到的其他与筹资活动有关的现金	筹资活动现金流入小计	偿还借款所支付的现金	偿还利息所支付的现金	支付的其他与筹资活动有关的现金	筹资活动现金流出小计	筹措活动产生的现金流量净额	汇率变动对现金的影响	现金及现金等价物净增加额
1064	天津市体育发展基金会	2014	8,493,978.00	0.00	0.00	0.00	0.00	110,330.03	8,604,308.03	5,688,766.80	10,315.00	11,677.90	0.00	5,710,759.70	2,893,548.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,893,548.33
1065	天津市佛教慈善功德基金会	2014	1,279,530.00	0.00	0.00	0.00	0.00	176,115.15	1,455,645.15	1,358,500.00	0.00	0.00	121,160.75	1,479,660.75	-24,015.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-24,015.60
1066	天津市冬朋助学基金会	2014	235,000.00	0.00	0.00	0.00	0.00	2,460,040.60	2,695,040.60	316,150.60	0.00	0.00	2,546,609.32	2,862,759.92	-167,719.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-167,719.32
1067	天津市冯骥才民间文化基金会	2014	165,640.00	0.00	0.00	0.00	0.00	905,338.67	1,070,978.67	0.00	219,521.60	0.00	611,779.30	831,300.90	239,677.77	5,000,000.00	745,263.13	0.00	0.00	5,745,263.13	0.00	7,000,000.00	0.00	7,000,000.00	-1,254,736.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1,015,059.10
1069	天津市华夏未来文化艺术基金会	2014	8,777,840.49	0.00	0.00	0.00	0.00	859,334.21	9,637,174.70	8,481,212.59	258,067.08	0.00	7,755,476.45	16,494,756.12	-6,857,581.42	4,002,854.55	0.00	0.00	0.00	4,002,854.55	0.00	0.00	540,475.15	540,475.15	3,462,379.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-3,395,202.02
1070	天津市南开中学教育基金会	2014	706,800.00	0.00	0.00	0.00	0.00	46,866.24	753,666.24	3,305,900.00	154,453.68	898,975.80	4,071,204.29	8,430,533.77	-7,676,867.53	0.00	6,577,604.33	0.00	0.00	6,577,604.33	0.00	5,000,000.00	0.00	5,000,000.00	1,577,604.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-6,099,263.20
1071	天津市南开菁英教育基金会	2014	200,000.00	0.00	0.00	0.00	0.00	93,330.42	293,330.42	570,000.00	9,600.00	0.00	19,187.59	598,787.59	-305,457.17	0.00	462,000.00	0.00	0.00	462,000.00	0.00	0.00	0.00	0.00	462,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	156,542.83
1072	天津市国家安全基金会	2014	0.00	0.00	0.00	0.00	0.00	56,510.10	56,510.10	0.00	4,800.00	0.00	8,294.90	13,094.90	43,415.20	2,000,000.00	247,600.00	0.00	0.00	2,247,600.00	0.00	0.00	0.00	0.00	2,247,600.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,291,015.20
1073	天津市妇女儿童发展基金会	2014	6,371,138.60	0.00	0.00	0.00	500,000.00	362,991.20	7,234,129.80	5,798,800.44	367,421.28	0.00	544,780.10	6,711,001.82	523,127.98	0.00	0.00	0.00	0.00	0.00	13,900.00	5,000,000.00	0.00	5,013,900.00	-5,013,900.00	0.00	0.00	0.00	0.00	0.00	96,221.40	96,221.40	-96,221.40	0.00	-4,586,993.42
1074	天津市力高慈善基金会	2014	391,173.40	0.00	0.00	0.00	0.00	8,406.97	399,580.37	0.00	0.00	0.00	193,394.00	193,394.00	206,186.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	206,186.37
1075	天津市孙洪森助学基金会	2014	152,000.00	0.00	0.00	0.00	0.00	445.20	152,445.20	160,996.00	0.00	0.00	22,769.00	183,765.00	-31,319.80	1,900,000.00	153,900.00	0.00	0.00	2,053,900.00	0.00	0.00	0.00	0.00	2,053,900.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2,022,580.20
1076	天津市宁鸿涛助学基金会	2014	21,373.00	0.00	0.00	0.00	0.00	0.00	21,373.00	188,746.55	0.00	0.00	16,921.83	205,668.38	-184,295.38	1,000,000.00	186,344.88	0.00	0.00	1,186,344.88	0.00	1,300,000.00	0.00	1,300,000.00	-113,655.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-297,950.50
1077	天津市宏志教育基金会	2014	83,367.00	0.00	0.00	0.00	0.00	2,299.27	85,666.27	385,000.00	12,000.00	0.00	8,937.80	405,937.80	-320,271.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-320,271.53
1078	天津市张君秋艺术基金会	2014	0.00	0.00	0.00	0.00	0.00	33,142.52	33,142.52	0.00	0.00	0.00	42,758.30	42,758.30	-9,615.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-9,615.78
1079	天津市振兴京剧基金会	2014	0.00	0.00	0.00	0.00	0.00	40,510.79	40,510.79	0.00	63,408.00	82,319.96	479,481.70	625,209.66	-584,698.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-584,698.87
1080	天津市振兴文化艺术基金会	2014	5,000,000.00	0.00	0.00	0.00	0.00	331,063.28	5,331,063.28	4,724,160.00	190,875.00	0.00	432,663.34	5,347,698.34	-16,635.06	20,000,000.00	18,778,333.33	0.00	0.00	38,778,333.33	0.00	40,010,000.00	0.00	40,010,000.00	-1,231,666.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1,248,301.73
1081	天津市支持教育事业公益基金会	2014	391,173.40	0.00	0.00	0.00	0.00	8,406.97	399,580.37	0.00	0.00	0.00	193,394.00	193,394.00	206,186.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	206,186.37
1082	天津市教育发展基金会	2014	6,800,000.00	0.00	0.00	0.00	0.00	7,539,458.52	14,339,458.52	17,506,091.50	298,651.00	261,151.75	14,846,334.21	32,912,228.46	-18,572,769.94	45,000,000.00	4,709,781.77	0.00	0.00	49,709,781.77	3,680.00	75,000,000.00	0.00	75,003,680.00	-25,293,898.23	0.00	0.00	0.00	0.00	0.00	5,259.00	5,259.00	-5,259.00	0.00	-43,871,927.17
1083	天津市旅港同乡教育基金会	2014	80,000.00	0.00	0.00	0.00	0.00	102,608.43	182,608.43	0.00	0.00	0.00	99,401.26	99,401.26	83,207.17	0.00	65,884.50	0.00	0.00	65,884.50	0.00	0.00	0.00	0.00	65,884.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	149,091.67
1084	天津市景华公益基金会	2014	1,406,960.00	0.00	0.00	0.00	0.00	13,286.89	1,420,246.89	2,954,911.02	0.00	0.00	109,358.84	3,064,269.86	-1,644,022.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1,644,022.97
1085	天津市杨兆兰慈善基金会	2014	0.00	155,380.00	0.00	0.00	0.00	1,057.23	156,437.23	384,940.00	24,000.00	6,801.50	0.00	415,741.50	-259,304.27	0.00	0.00	0.00	139,125.00	139,125.00	0.00	0.00	0.00	0.00	139,125.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-120,179.27
1086	天津市残疾人福利基金会	2014	15,824,456.54	0.00	0.00	0.00	0.00	12,932.37	15,837,388.91	14,959,232.38	18,720.00	724,883.85	403,758.69	16,106,594.92	-269,206.01	0.00	0.00	0.00	0.00	0.00	66,543.00	0.00	0.00	66,543.00	-66,543.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-335,749.01
1087	天津市民营科技企业发展基金会	2014	200,000.00	0.00	0.00	0.00	0.00	7,227.41	207,227.41	200,000.00	0.00	0.00	0.00	200,000.00	7,227.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7,227.41
1088	天津市海河文化发展基金会	2014	4,034,493.83	0.00	0.00	0.00	0.00	0.00	4,034,493.83	0.00	112,033.30	76.50	4,156,017.53	4,268,127.33	-233,633.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-233,633.50
1089	天津市滨海社会救助基金会	2014	8,000.00	0.00	0.00	0.00	0.00	104,734.41	112,734.41	351,603.80	0.00	0.00	107,730.00	459,333.80	-346,599.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-346,599.39
1090	天津市王克昌奖学基金会	2014	0.00	0.00	0.00	0.00	0.00	4,355.57	4,355.57	379,172.00	0.00	0.00	34,039.30	413,211.30	-408,855.73	0.00	1,150,319.44	0.00	0.00	1,150,319.44	0.00	0.00	0.00	0.00	1,150,319.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	741,463.71
1091	天津市社会救助基金会	2014	0.00	0.00	0.00	0.00	30,000.00	250,709.15	280,709.15	1,120,000.00	43,400.00	0.00	44,689.50	1,208,089.50	-927,380.35	0.00	947,589.04	0.00	0.00	947,589.04	3,000,000.00	0.00	0.00	3,000,000.00	-2,052,410.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2,979,791.31
1092	天津市福老基金会	2014	20,000.00	0.00	0.00	0.00	0.00	40,778.67	60,778.67	211,927.50	37,600.00	0.00	14,496.40	264,023.90	-203,245.23	0.00	0.00	0.00	0.00	0.00	0.00	100,000.00	0.00	100,000.00	-100,000.00	260,000.00	0.00	260,000.00	0.00	0.00	0.00	0.00	260,000.00	0.00	-43,245.23
1093	天津市第二中学教育发展基金会	2014	551,000.00	0.00	0.00	0.00	0.00	13,778.45	564,778.45	1,242,000.00	15,840.00	0.00	68,928.33	1,326,768.33	-761,989.88	300,000.00	0.00	0.00	0.00	300,000.00	0.00	0.00	0.00	0.00	300,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-461,989.88
1094	天津市红十字基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1096	天津市翔宇教育基金会	2014	6,108,500.00	0.00	0.00	0.00	0.00	26,818.32	6,135,318.32	2,757,307.00	0.00	0.00	31,248.90	2,788,555.90	3,346,762.42	1,000,000.00	10,479.45	0.00	0.00	1,010,479.45	8,774.00	3,500,000.00	0.00	3,508,774.00	-2,498,294.55	0.00	3,117,400.00	3,117,400.00	0.00	0.00	2,080,000.00	2,080,000.00	1,037,400.00	0.00	1,885,867.87
1097	天津市老年基金会	2014	516,500.00	0.00	0.00	0.00	500,000.00	3,829.73	1,020,329.73	1,043,241.50	108,369.50	0.00	46,857.75	1,198,468.75	-178,139.02	10,500,000.00	1,503,289.70	0.00	0.00	12,003,289.70	0.00	11,500,000.00	0.00	11,500,000.00	503,289.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	325,150.68
1098	天津市联合助学基金会	2014	768,182.65	0.00	0.00	0.00	0.00	100.00	768,282.65	236,786.70	46,800.00	351,309.00	155,107.62	790,003.32	-21,720.67	0.00	0.00	0.00	0.00	0.00	8,997.00	0.00	0.00	8,997.00	-8,997.00	0.00	0.00	0.00	50,000.00	0.00	0.00	50,000.00	-50,000.00	0.00	-80,717.67
1099	天津市自然科学团体活动基金会	2014	0.00	0.00	0.00	0.00	220,000.00	1,664.72	221,664.72	175,000.00	0.00	0.00	4,050.00	179,050.00	42,614.72	0.00	54,947.85	0.00	0.00	54,947.85	0.00	0.00	0.00	0.00	54,947.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	97,562.57
1100	天津市赵以成医学科学基金会	2014	600,000.00	0.00	0.00	0.00	0.00	327,754.21	927,754.21	50,000.00	33,000.00	1,799,156.90	288,000.00	2,170,156.90	-1,242,402.69	11,052,531.50	79,682.18	0.00	2,043,203.53	13,175,417.21	0.00	6,000,000.00	7,085,000.00	13,085,000.00	90,417.21	0.00	62,000.00	62,000.00	0.00	0.00	2,771.60	2,771.60	59,228.40	0.00	-1,092,757.08
1101	天津市青少年发展基金会	2014	6,455,549.23	0.00	0.00	0.00	0.00	17,307.98	6,472,857.21	5,282,587.45	161,692.09	35,164.20	215,006.13	5,694,449.87	778,407.34	3,000,000.00	134,260.27	0.00	0.00	3,134,260.27	14,063.00	3,000,000.00	0.00	3,014,063.00	120,197.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	898,604.61
1102	天津市青少年科学基金会	2014	170,000.00	0.00	0.00	0.00	0.00	1,826,924.17	1,996,924.17	0.00	0.00	91,351.70	88,900.00	180,251.70	1,816,672.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,816,672.47
1103	天津市青年创业就业基金会	2014	4,273,800.00	0.00	0.00	0.00	2,000,000.00	203,133.35	6,476,933.35	4,320,000.00	293,392.34	60,905.64	764,775.79	5,439,073.77	1,037,859.58	0.00	0.00	0.00	0.00	0.00	18,203.90	0.00	0.00	18,203.90	-18,203.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,019,655.68
1104	天津市静海一滴水慈善基金会	2014	10,000.00	0.00	0.00	0.00	0.00	1,551,515.15	1,561,515.15	1,143,500.00	0.00	0.00	7,403.90	1,150,903.90	410,611.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	410,611.25
1105	天津市音苑教育发展基金会	2014	2,833,349.24	0.00	0.00	0.00	0.00	659,528.01	3,492,877.25	5,658,722.65	1,200.00	0.00	9,640.80	5,669,563.45	-2,176,686.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2,176,686.20
1106	天津市鹤童老年公益基金会	2014	361,685.84	0.00	0.00	0.00	703,746.23	3,850,143.10	4,915,575.17	803,831.80	119,791.60	0.00	107,967.82	1,031,591.22	3,883,983.95	0.00	0.00	0.00	0.00	0.00	741,800.00	0.00	0.00	741,800.00	-741,800.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3,142,183.95
1107	天津广播电视大学教育发展基金会	2014	77,887.00	0.00	0.00	0.00	0.00	2,506.79	80,393.79	253,066.50	6,400.00	14,261.10	14,320.00	288,047.60	-207,653.81	0.00	49,142.08	0.00	0.00	49,142.08	0.00	0.00	0.00	0.00	49,142.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-158,511.73
1108	天津方放秘书学与公文写作学研究基金会	2014	0.00	0.00	0.00	0.00	0.00	21,221.80	21,221.80	219,429.50	0.00	0.00	298,255.68	517,685.18	-496,463.38	0.00	261,350.00	0.00	0.00	261,350.00	7,461.00	0.00	0.00	7,461.00	253,889.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-242,574.38
1109	天津桃李源文化基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1110	天津理工大学教育发展基金会	2014	20,000.00	0.00	0.00	0.00	0.00	23,168.48	43,168.48	607,086.00	0.00	0.00	21,546.60	628,632.60	-585,464.12	0.00	0.00	0.00	0.00	0.00	0.00	5,000,000.00	0.00	5,000,000.00	-5,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-5,585,464.12
1111	天诺慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	15,216.69	15,216.69	4,000,000.00	203,880.95	0.00	1,484,621.27	5,688,502.22	-5,673,285.53	5,000,000.00	410,482.65	0.00	0.00	5,410,482.65	0.00	0.00	0.00	0.00	5,410,482.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-262,802.88
1112	太仓市党员关爱暨帮扶困难群众基金会	2014	0.00	0.00	0.00	0.00	0.00	12,192.48	12,192.48	3,605,000.00	0.00	0.00	146,350.25	3,751,350.25	-3,739,157.77	0.00	5,000,000.00	0.00	0.00	5,000,000.00	0.00	0.00	0.00	0.00	5,000,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1,260,842.23
1113	太仓市慈善基金会	2014	3,979,575.90	0.00	0.00	0.00	65,755.00	202,301.64	4,247,632.54	3,639,471.40	0.00	0.00	8,380.50	3,647,851.90	599,780.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20,000.00	20,000.00	-20,000.00	0.00	579,780.64
1114	太仓市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	16,266.96	16,266.96	614,660.00	0.00	0.00	6,815.49	621,475.49	-605,208.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-605,208.53
1115	太平洋国际交流基金会	2014	9,400,000.00	0.00	0.00	0.00	405,000.00	506,710.72	10,311,710.72	7,916,735.23	532,337.37	0.00	1,712,733.87	10,161,806.47	149,904.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	149,904.25
1116	奉化市人民教育基金会	2014	11,383,000.00	0.00	0.00	0.00	0.00	426,265.94	11,809,265.94	11,548,650.00	0.00	0.00	33,830.00	11,582,480.00	226,785.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	226,785.94
1117	如东县教育发展基金会	2014	426,000.00	0.00	0.00	0.00	0.00	53,406.82	479,406.82	6,973,431.00	0.00	0.00	43,456.90	7,016,887.90	-6,537,481.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-6,537,481.08
1118	如东县见义勇为基金会	2014	0.00	0.00	0.00	0.00	9,000,000.00	495.28	9,000,495.28	105,000.00	0.00	4,200.00	9,000,210.00	9,109,410.00	-108,914.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-108,914.72
1119	如皋市慈善基金会	2014	24,026,300.00	0.00	0.00	0.00	0.00	181,786.31	24,208,086.31	22,148,934.11	230,000.00	0.00	7,614,697.00	29,993,631.11	-5,785,544.80	0.00	6,235,000.00	0.00	0.00	6,235,000.00	40,130.00	0.00	0.00	40,130.00	6,194,870.00	0.00	0.00	0.00	0.00	0.00	76,341.13	76,341.13	-76,341.13	0.00	332,984.07
1121	姜堰市教育发展基金会	2014	74,213,846.00	0.00	0.00	0.00	0.00	144,800.13	74,358,646.13	45,195,122.00	0.00	0.00	4,060.48	45,199,182.48	29,159,463.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	29,159,463.65
1122	泰州市姜堰区见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	394.98	394.98	0.00	0.00	0.00	0.00	394.98	0.00	394.98
1123	威海市恒盛文化艺术发展基金会	2014	216,266.33	0.00	0.00	0.00	600,000.00	51,792.64	868,058.97	200,000.00	0.00	9,063.70	0.00	209,063.70	658,995.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	658,995.27
1124	威海市见义勇为基金会	2014	0.00	0.00	0.00	0.00	0.00	277,107.68	277,107.68	160,000.00	28,201.93	0.00	140,138.82	328,340.75	-51,233.07	0.00	0.00	0.00	0.00	0.00	2,100.00	0.00	0.00	2,100.00	-2,100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-53,333.07
1125	威盛信望爱公益基金会	2014	17,890,681.38	0.00	0.00	0.00	0.00	521,156.66	18,411,838.04	17,408,849.92	509,078.46	0.00	375,115.46	18,293,043.84	118,794.20	0.00	0.00	0.00	0.00	0.00	2,346.00	0.00	0.00	2,346.00	-2,346.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	116,448.20
1126	孙中山基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1127	孙冶方经济科学基金会	2014	5,800,000.00	0.00	0.00	0.00	0.00	875,504.77	6,675,504.77	2,044,545.06	420,742.08	33,761.80	466,401.15	2,965,450.09	3,710,054.68	0.00	0.00	0.00	0.00	0.00	7,788.00	0.00	0.00	7,788.00	-7,788.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3,702,266.68
1129	宁乡县教育基金会	2014	5,678,000.00	0.00	0.00	0.00	200,000.00	22,687.47	5,900,687.47	2,006,900.00	463,250.00	1,980,000.00	198,830.08	4,648,980.08	1,251,707.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	42,131.00	42,131.00	-42,131.00	0.00	1,209,576.39
1130	宁夏上陵社区敬老养老基金会	2014	6,700,000.00	0.00	0.00	0.00	0.00	715.36	6,700,715.36	6,804,864.00	0.00	2,000,000.00	4,174.00	8,809,038.00	-2,108,322.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-2,108,322.64
1131	宁夏中宁县教育慈善发展基金会	2014	1,110,000.00	0.00	0.00	0.00	0.00	308,621.01	1,418,621.01	2,641,350.00	73,600.00	0.00	110,595.12	2,825,545.12	-1,406,924.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1,406,924.11
1134	宁夏吴忠慈善基金会	2014	5,301,909.18	0.00	0.00	0.00	0.00	141,832.85	5,443,742.03	7,056,289.32	130,400.00	63,264.27	0.00	7,249,953.59	-1,806,211.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1,806,211.56
1135	宁夏嘉峰慈善基金会	2014	498,995.00	0.00	0.00	0.00	0.00	259.30	499,254.30	163,995.00	0.00	0.00	1,025.00	165,020.00	334,234.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	334,234.30
1136	宁夏回族自治区关心下一代基金会	2014	1,143,075.20	0.00	0.00	0.00	0.00	226,503.96	1,369,579.16	1,105,111.15	50,055.63	0.00	10,824.35	1,165,991.13	203,588.03	0.00	0.00	0.00	0.00	0.00	4,100.00	0.00	0.00	4,100.00	-4,100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	199,488.03
1138	宁夏回族自治区敬义泰慈善基金会	2014	143,905.00	0.00	0.00	0.00	0.00	113.22	144,018.22	142,670.00	0.00	0.00	1,020.00	143,690.00	328.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	328.22
1140	宁夏回族自治区维宗博爱基金会	2014	941,989.50	0.00	0.00	0.00	0.00	935.02	942,924.52	1,830,644.70	22,000.00	39,127.30	0.00	1,891,772.00	-948,847.48	0.00	0.00	0.00	1,350,000.00	1,350,000.00	0.00	0.00	0.00	0.00	1,350,000.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	401,152.52
1142	宁夏国龙慈善基金会	2014	1,942,804.90	0.00	0.00	0.00	0.00	0.00	1,942,804.90	1,240,169.34	96,800.00	0.00	29,996.02	1,366,965.36	575,839.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13,354.44	13,354.44	0.00	0.00	0.00	0.00	13,354.44	0.00	589,193.98
1143	宁夏宝塔慈智慈善基金会	2014	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.49	1.49	-1.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	-1.49
1144	宁夏本念公益基金会	2014	92,000.00	0.00	0.00	0.00	0.00	273.48	92,273.48	77,386.50	0.00	0.00	3,710.70	81,097.20	11,176.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	11,176.28
1145	宁夏正丰慈善基金会	2014	2,000,000.00	0.00	0.00	0.00	0.00	3,030.66	2,003,030.66	1,280,000.00	0.00	0.00	1,284.20	1,281,284.20	721,746.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	721,746.46
1146	宁夏沙漠绿化与沙产业发展基金会	2014	4,810,188.91	0.00	0.00	0.00	0.00	27,175.25	4,837,364.16	0.00	0.00	0.00	0.00	0.00	4,837,364.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4,837,364.16
